model,bundle_path,total_records,freeflow_records,values_records
deepseek-chat,website/public/data/samples/deepseek-chat.json,145,25,120
deepseek-v3-2,website/public/data/samples/deepseek-v3-2.json,2790,1350,1440
deepseek-v4-pro,website/public/data/samples/deepseek-v4-pro.json,1765,925,840
gemini-2-5-pro,website/public/data/samples/gemini-2-5-pro.json,290,50,240
gemini-3-1-pro,website/public/data/samples/gemini-3-1-pro.json,290,50,240
glm-4-5,website/public/data/samples/glm-4-5.json,515,275,240
glm-4-6,website/public/data/samples/glm-4-6.json,1495,775,720
glm-4-7,website/public/data/samples/glm-4-7.json,2720,1400,1320
glm-5-1,website/public/data/samples/glm-5-1.json,3700,1900,1800
gpt-4-1,website/public/data/samples/gpt-4-1.json,290,50,240
gpt-4o,website/public/data/samples/gpt-4o.json,435,75,360
gpt-5-1-codex,website/public/data/samples/gpt-5-1-codex.json,195,75,120
gpt-5-1,website/public/data/samples/gpt-5-1.json,195,75,120
gpt-5-2-codex,website/public/data/samples/gpt-5-2-codex.json,195,75,120
gpt-5-2,website/public/data/samples/gpt-5-2.json,195,75,120
gpt-5-3-codex,website/public/data/samples/gpt-5-3-codex.json,195,75,120
gpt-5-3,website/public/data/samples/gpt-5-3.json,195,75,120
gpt-5-4,website/public/data/samples/gpt-5-4.json,435,75,360
gpt-5-5-pro,website/public/data/samples/gpt-5-5-pro.json,145,25,120
gpt-5-5,website/public/data/samples/gpt-5-5.json,270,150,120
gpt-5-codex,website/public/data/samples/gpt-5-codex.json,195,75,120
gpt-5,website/public/data/samples/gpt-5.json,195,75,120
grok-3,website/public/data/samples/grok-3.json,290,50,240
grok-4-1-fast-non-reasoning,website/public/data/samples/grok-4-1-fast-non-reasoning.json,245,125,120
grok-4-1-fast-reasoning,website/public/data/samples/grok-4-1-fast-reasoning.json,245,125,120
grok-4-20,website/public/data/samples/grok-4-20.json,145,25,120
grok-4-3,website/public/data/samples/grok-4-3.json,490,250,240
grok-4,website/public/data/samples/grok-4.json,580,100,480
kimi-coding,website/public/data/samples/kimi-coding.json,145,25,120
kimi-k2-0905,website/public/data/samples/kimi-k2-0905.json,980,500,480
kimi-k2-5,website/public/data/samples/kimi-k2-5.json,290,50,240
kimi-k2-6,website/public/data/samples/kimi-k2-6.json,145,25,120
kimi-k2-thinking,website/public/data/samples/kimi-k2-thinking.json,735,375,360
minimax-m2-7,website/public/data/samples/minimax-m2-7.json,760,400,360
minimax-m2,website/public/data/samples/minimax-m2.json,1240,1000,240
opus-3,website/public/data/samples/opus-3.json,290,50,240
opus-4-0,website/public/data/samples/opus-4-0.json,290,50,240
opus-4-1,website/public/data/samples/opus-4-1.json,290,50,240
opus-4-5,website/public/data/samples/opus-4-5.json,290,50,240
opus-4-6,website/public/data/samples/opus-4-6.json,435,75,360
opus-4-7,website/public/data/samples/opus-4-7.json,290,50,240
qwen3-6-plus,website/public/data/samples/qwen3-6-plus.json,145,25,120
qwen3-coder-plus,website/public/data/samples/qwen3-coder-plus.json,145,25,120
sonnet-4-0,website/public/data/samples/sonnet-4-0.json,290,50,240
sonnet-4-5,website/public/data/samples/sonnet-4-5.json,290,50,240
sonnet-4-6,website/public/data/samples/sonnet-4-6.json,435,75,360
