model,coded_values_samples,CTRL1,CTRL2,CTRL3,G1,G2,G3,hard_denial_or_tool_frame,hybrid_denial_plus_uncertainty,introspective_uncertainty,no_disclaimer_or_personalized
deepseek-chat,120,10,10,10,30,30,30,25,25,2,68
deepseek-v3-2,1319,110,110,110,330,330,329,317,277,72,653
deepseek-v4-pro,709,60,60,58,174,179,178,178,92,23,416
gemini-2-5-pro,120,10,10,10,30,30,30,6,38,6,70
gemini-3-1-pro,120,10,10,10,30,30,30,39,15,4,62
glm-4-5,240,20,20,20,60,60,60,70,56,3,111
glm-4-6,720,60,60,60,180,180,180,80,164,21,455
glm-4-6-coding,120,10,10,10,30,30,30,16,25,1,78
glm-4-7,1320,110,110,110,330,330,330,289,214,48,769
glm-5-1,1682,142,140,140,420,420,420,137,216,184,1145
glm-5-1-coding,120,10,10,10,30,30,30,10,26,8,76
gpt-4-1,120,10,10,10,30,30,30,23,28,4,65
gpt-4o,240,20,20,20,60,60,60,79,19,0,142
gpt-5,120,10,10,10,30,30,30,87,1,0,32
gpt-5-1,120,10,10,10,30,30,30,20,58,1,41
gpt-5-1-codex,120,10,10,10,30,30,30,33,5,0,82
gpt-5-2,120,10,10,10,30,30,30,40,37,0,43
gpt-5-2-codex,120,10,10,10,30,30,30,64,2,0,54
gpt-5-3,120,10,10,10,30,30,30,6,50,12,52
gpt-5-3-codex,120,10,10,10,30,30,30,26,24,3,67
gpt-5-4,240,20,20,20,60,60,60,12,86,27,115
gpt-5-5,120,10,10,10,30,30,30,10,51,17,42
gpt-5-5-pro,120,10,10,10,30,30,30,26,37,9,48
gpt-5-codex,120,10,10,10,30,30,30,52,10,1,57
grok-3,120,10,10,10,30,30,30,15,12,16,77
grok-4,120,10,10,10,30,30,30,35,6,1,78
grok-4-1-fast-non-reasoning,120,10,10,10,30,30,30,0,0,1,119
grok-4-1-fast-reasoning,120,10,10,10,30,30,30,0,0,0,120
grok-4-2,120,10,10,10,30,30,30,3,1,2,114
grok-4-20,120,10,10,10,30,30,30,8,7,2,103
grok-4-3,240,20,20,20,60,60,60,47,35,8,150
kimi-coding,120,10,10,10,30,30,30,20,32,13,55
kimi-k2-0905,480,40,40,40,120,120,120,29,28,17,406
kimi-k2-5,120,10,10,10,30,30,30,22,22,14,62
kimi-k2-6,120,10,10,10,30,30,30,24,25,16,55
kimi-k2-thinking,360,30,30,30,90,90,90,121,32,22,185
minimax-m2,240,20,20,20,60,60,60,33,73,42,92
minimax-m2-7,358,30,30,30,89,89,90,75,102,22,159
opus-3,120,10,10,10,30,30,30,38,25,6,51
opus-4-0,120,10,10,10,30,30,30,0,1,6,113
opus-4-1,120,10,10,10,30,30,30,0,0,17,103
opus-4-5,120,10,10,10,30,30,30,0,2,91,27
opus-4-6,240,20,20,20,60,60,60,0,29,169,42
opus-4-7,240,20,20,20,60,60,60,0,18,159,63
qwen3-6-plus,120,10,10,10,30,30,30,73,18,0,29
qwen3-coder-plus,120,10,10,10,30,30,30,6,4,31,79
sonnet-4-0,120,10,10,10,30,30,30,0,0,19,101
sonnet-4-5,120,10,10,10,30,30,30,9,1,40,70
sonnet-4-6,240,20,20,20,60,60,60,9,17,173,41
