blind_id,cluster_k6,UNBLINDING_METADATA_model,UNBLINDING_METADATA_lab,UNBLINDING_METADATA_model_family,routing_exception_flag
M002,5,deepseek-chat,DeepSeek,deepseek,
M003,5,deepseek-v3-2,DeepSeek,deepseek,
M004,5,deepseek-v4-pro,DeepSeek,deepseek,
M005,4,gemini-2-0-flash,Google,gemini,
M007,4,gemini-2-0-flash-lite,Google,gemini,
M009,4,gemini-2-5-flash,Google,gemini,
M010,4,gemini-2-5-flash-lite,Google,gemini,
M011,5,gemini-2-5-pro,Google,gemini,
M012,5,gemini-3-1-flash-lite,Google,gemini,
M013,5,gemini-3-1-pro,Google,gemini,
M015,5,gemini-3-5-flash,Google,gemini,
M016,5,gemini-3-flash-preview,Google,gemini,
M017,1,gemma-4-26b-a4b,Google,gemma,
M019,1,gemma-4-31b,Google,gemma,
M021,5,glm-4-5,Z.ai,glm,
M022,5,glm-4-6,Z.ai,glm,
M024,5,glm-4-7,Z.ai,glm,DekaLLM GLM 4.7 prompt-keyed cache pathology
M025,5,glm-5-1,Z.ai,glm,
M027,5,gpt-4-1,OpenAI,openai,
M028,4,gpt-4o,OpenAI,openai,
M029,3,gpt-5,OpenAI,openai,
M030,4,gpt-5-1,OpenAI,openai,
M031,6,gpt-5-1-codex,OpenAI,openai,
M032,4,gpt-5-2,OpenAI,openai,
M033,4,gpt-5-2-codex,OpenAI,openai,
M034,5,gpt-5-3,OpenAI,openai,
M035,5,gpt-5-3-codex,OpenAI,openai,
M036,5,gpt-5-4,OpenAI,openai,
M037,5,gpt-5-5,OpenAI,openai,
M038,5,gpt-5-5-pro,OpenAI,openai,
M039,4,gpt-5-codex,OpenAI,openai,
M040,5,grok-3,xAI,grok,
M041,4,grok-4,xAI,grok,
M043,2,grok-4-1-fast-non-reasoning,xAI,grok,
M044,2,grok-4-1-fast-reasoning,xAI,grok,
M045,2,grok-4-2,xAI,grok,
M046,5,grok-4-3,xAI,grok,
M047,5,kimi-coding,Moonshot AI,kimi,
M049,2,kimi-k2-0905,Moonshot AI,kimi,
M050,5,kimi-k2-5,Moonshot AI,kimi,
M051,5,kimi-k2-6,Moonshot AI,kimi,
M052,5,kimi-k2-thinking,Moonshot AI,kimi,Kimi K2-thinking AtlasCloud side of smaller provider effect; Kimi K2-thinking Google Vertex side of smaller provider effect
M053,5,minimax-m2,MiniMax,minimax,Google Vertex MiniMax M2 large deployment outlier
M054,5,minimax-m2-7,MiniMax,minimax,Fireworks/uncollectable provider missingness
M055,4,opus-3,Anthropic,anthropic,
M056,2,opus-4-0,Anthropic,anthropic,
M057,2,opus-4-1,Anthropic,anthropic,
M058,2,opus-4-5,Anthropic,anthropic,
M059,2,opus-4-6,Anthropic,anthropic,
M060,2,opus-4-7,Anthropic,anthropic,
M071,5,qwen3-5-flash-02-23,Qwen,qwen,
M072,5,qwen3-5-plus-20260420,Qwen,qwen,
M073,5,qwen3-6-flash,Qwen,qwen,
M074,5,qwen3-6-max-preview,Qwen,qwen,
M075,3,qwen3-6-plus,Qwen,qwen,
M076,5,qwen3-7-max,Qwen,qwen,
M077,5,qwen3-coder-flash,Qwen,qwen,
M078,2,qwen3-coder-plus,Qwen,qwen,
M079,5,qwen3-max,Qwen,qwen,
M080,5,qwen3-max-thinking,Qwen,qwen,
M081,2,sonnet-4-0,Anthropic,anthropic,
M082,2,sonnet-4-5,Anthropic,anthropic,
M083,2,sonnet-4-6,Anthropic,anthropic,
