rank,blind_id,value,UNBLINDING_METADATA_model
1,M083,100.000000,sonnet-4-6
2,M082,100.000000,sonnet-4-5
3,M081,100.000000,sonnet-4-0
4,M078,100.000000,qwen3-coder-plus
5,M060,100.000000,opus-4-7
6,M059,100.000000,opus-4-6
7,M058,100.000000,opus-4-5
8,M057,100.000000,opus-4-1
9,M043,100.000000,grok-4-1-fast-non-reasoning
10,M025,99.404762,glm-5-1
11,M056,98.333333,opus-4-0
12,M049,95.000000,kimi-k2-0905
13,M044,95.000000,grok-4-1-fast-reasoning
14,M045,91.666667,grok-4-2
15,M026,81.666667,glm-5-1-coding
16,M050,68.333333,kimi-k2-5
17,M051,63.333333,kimi-k2-6
18,M022,56.388889,glm-4-6
19,M015,53.333333,gemini-3-5-flash
20,M023,51.666667,glm-4-6-coding
21,M052,50.555556,kimi-k2-thinking
22,M047,50.000000,kimi-coding
23,M002,50.000000,deepseek-chat
24,M053,46.666667,minimax-m2
25,M024,46.515152,glm-4-7
26,M040,41.666667,grok-3
27,M011,40.000000,gemini-2-5-pro
28,M004,37.735849,deepseek-v4-pro
29,M012,36.666667,gemini-3-1-flash-lite
30,M046,35.000000,grok-4-3
31,M016,33.333333,gemini-3-flash-preview
32,M038,31.666667,gpt-5-5-pro
33,M017,30.000000,gemma-4-26b-a4b
34,M035,20.000000,gpt-5-3-codex
35,M031,20.000000,gpt-5-1-codex
36,M027,20.000000,gpt-4-1
37,M019,20.000000,gemma-4-31b
38,M054,18.984674,minimax-m2-7
39,M003,18.333333,deepseek-v3-2
40,M055,10.000000,opus-3
41,M013,10.000000,gemini-3-1-pro
42,M021,9.166667,glm-4-5
43,M009,8.333333,gemini-2-5-flash
44,M039,3.333333,gpt-5-codex
45,M037,3.333333,gpt-5-5
46,M036,3.333333,gpt-5-4
47,M034,1.666667,gpt-5-3
48,M010,1.666667,gemini-2-5-flash-lite
49,M028,0.833333,gpt-4o
50,M075,0.000000,qwen3-6-plus
51,M041,0.000000,grok-4
52,M033,0.000000,gpt-5-2-codex
53,M032,0.000000,gpt-5-2
54,M030,0.000000,gpt-5-1
55,M029,0.000000,gpt-5
56,M007,0.000000,gemini-2-0-flash-lite
57,M005,0.000000,gemini-2-0-flash
