rank,blind_id,value,UNBLINDING_METADATA_model
1,M058,100.000000,opus-4-5
2,M057,100.000000,opus-4-1
3,M056,100.000000,opus-4-0
4,M043,100.000000,grok-4-1-fast-non-reasoning
5,M081,95.000000,sonnet-4-0
6,M044,95.000000,grok-4-1-fast-reasoning
7,M060,90.000000,opus-4-7
8,M045,87.500000,grok-4-2
9,M059,70.000000,opus-4-6
10,M083,50.000000,sonnet-4-6
11,M082,50.000000,sonnet-4-5
12,M034,50.000000,gpt-5-3
13,M035,40.000000,gpt-5-3-codex
14,M049,36.250000,kimi-k2-0905
15,M036,30.000000,gpt-5-4
16,M031,30.000000,gpt-5-1-codex
17,M046,25.000000,grok-4-3
18,M078,20.000000,qwen3-coder-plus
19,M047,15.000000,kimi-coding
20,M053,5.000000,minimax-m2
21,M041,5.000000,grok-4
22,M040,5.000000,grok-3
23,M039,5.000000,gpt-5-codex
24,M037,5.000000,gpt-5-5
25,M027,5.000000,gpt-4-1
26,M004,3.333333,deepseek-v4-pro
27,M025,1.785714,glm-5-1
28,M003,0.454545,deepseek-v3-2
29,M075,0.000000,qwen3-6-plus
30,M055,0.000000,opus-3
31,M054,0.000000,minimax-m2-7
32,M052,0.000000,kimi-k2-thinking
33,M051,0.000000,kimi-k2-6
34,M050,0.000000,kimi-k2-5
35,M038,0.000000,gpt-5-5-pro
36,M033,0.000000,gpt-5-2-codex
37,M032,0.000000,gpt-5-2
38,M030,0.000000,gpt-5-1
39,M029,0.000000,gpt-5
40,M028,0.000000,gpt-4o
41,M026,0.000000,glm-5-1-coding
42,M024,0.000000,glm-4-7
43,M023,0.000000,glm-4-6-coding
44,M022,0.000000,glm-4-6
45,M021,0.000000,glm-4-5
46,M019,0.000000,gemma-4-31b
47,M017,0.000000,gemma-4-26b-a4b
48,M016,0.000000,gemini-3-flash-preview
49,M015,0.000000,gemini-3-5-flash
50,M013,0.000000,gemini-3-1-pro
51,M012,0.000000,gemini-3-1-flash-lite
52,M011,0.000000,gemini-2-5-pro
53,M010,0.000000,gemini-2-5-flash-lite
54,M009,0.000000,gemini-2-5-flash
55,M007,0.000000,gemini-2-0-flash-lite
56,M005,0.000000,gemini-2-0-flash
57,M002,0.000000,deepseek-chat
