rank,blind_id,value,UNBLINDING_METADATA_model
1,M028,0.756364,gpt-4o
2,M027,0.732000,gpt-4-1
3,M030,0.613333,gpt-5-1
4,M046,0.552000,grok-4-3
5,M040,0.536000,grok-3
6,M042,0.528000,grok-4-0709
7,M066,0.512000,qwen-qwen3-7-max
8,M002,0.444000,deepseek-chat
9,M009,0.440000,gemini-2-5-flash
10,M018,0.408000,gemma-4-26b-a4b-it
11,M070,0.400000,qwen-qwen3-max-thinking
12,M054,0.397500,minimax-m2-7
13,M016,0.368000,gemini-3-flash-preview
14,M053,0.362000,minimax-m2
15,M057,0.360000,opus-4-1
16,M082,0.344000,sonnet-4-5
17,M012,0.344000,gemini-3-1-flash-lite
18,M056,0.336000,opus-4-0
19,M069,0.328000,qwen-qwen3-max
20,M032,0.306667,gpt-5-2
21,M061,0.272000,qwen-qwen3-5-flash-02-23
22,M003,0.271698,deepseek-v3-2
23,M011,0.268000,gemini-2-5-pro
24,M081,0.264000,sonnet-4-0
25,M065,0.253333,qwen-qwen3-6-plus
26,M067,0.248000,qwen-qwen3-coder-flash
27,M014,0.236000,gemini-3-1-pro-preview
28,M043,0.232000,grok-4-1-fast-non-reasoning
29,M033,0.220000,gpt-5-2-codex
30,M001,0.208000,claude-3-opus-20240229
31,M021,0.196364,glm-4-5
32,M064,0.176000,qwen-qwen3-6-max-preview
33,M052,0.176000,kimi-k2-thinking
34,M037,0.173333,gpt-5-5
35,M031,0.170000,gpt-5-1-codex
36,M020,0.160000,gemma-4-31b-it
37,M015,0.160000,gemini-3-5-flash
38,M036,0.156364,gpt-5-4
39,M062,0.152000,qwen-qwen3-5-plus-20260420
40,M025,0.142632,glm-5-1
41,M039,0.136667,gpt-5-codex
42,M063,0.136000,qwen-qwen3-6-flash
43,M038,0.124000,gpt-5-5-pro
44,M068,0.120000,qwen-qwen3-coder-plus
45,M006,0.112000,gemini-2-0-flash-001
46,M022,0.111111,glm-4-6
47,M024,0.103571,glm-4-7
48,M083,0.100000,sonnet-4-6
49,M004,0.098065,deepseek-v4-pro
50,M044,0.096000,grok-4-1-fast-reasoning
51,M050,0.090909,kimi-k2-5
52,M029,0.090000,gpt-5
53,M048,0.088000,kimi-for-coding
54,M058,0.080000,opus-4-5
55,M051,0.069091,kimi-k2-6
56,M010,0.064000,gemini-2-5-flash-lite
57,M008,0.064000,gemini-2-0-flash-lite-001
58,M035,0.056667,gpt-5-3-codex
59,M045,0.040000,grok-4-2
60,M034,0.030000,gpt-5-3
61,M060,0.020000,opus-4-7
62,M059,0.020000,opus-4-6
63,M049,0.004000,kimi-k2-0905
