blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M002,0.000000,0.246899,0.260900,0.255229,0.290523,0.284893,0.307559,0.339543,0.335835,0.344955,0.211711,0.421091,0.655132,0.671647,0.338189,0.270394,0.291647,0.343873,0.210951,0.321884,0.478837,0.308483,0.516896,0.334918,0.427608,0.370490,0.282527,0.330550,0.356520,0.319909,0.416519,0.241765,0.380456,0.264742,0.259261,0.364758,0.285781,0.301201,0.326391,0.308290,0.369532,0.267879,0.247367,0.295825,0.297795,0.434599,0.482995,0.523394,0.466914,0.489137,0.211567,0.219126,0.210297,0.244159,0.388179,0.213711,0.154849,0.350780,0.204761,0.212787,0.417778,0.354235,0.484056
M003,0.246899,0.000000,0.259251,0.294698,0.338867,0.297834,0.302683,0.297482,0.232674,0.252641,0.280707,0.331685,0.582964,0.591349,0.199916,0.262403,0.292849,0.380127,0.302339,0.445244,0.508794,0.351274,0.574828,0.357986,0.492637,0.402922,0.319380,0.316539,0.351822,0.352148,0.481652,0.281117,0.490699,0.361575,0.362112,0.433426,0.399286,0.340311,0.414820,0.342402,0.393547,0.277090,0.324966,0.307946,0.364391,0.525030,0.561662,0.598635,0.553578,0.531415,0.271939,0.256376,0.257827,0.261159,0.360997,0.247963,0.247899,0.445149,0.249389,0.261000,0.517208,0.451992,0.554293
M004,0.260900,0.259251,0.000000,0.323718,0.395783,0.395906,0.367616,0.393144,0.377694,0.341516,0.285098,0.427950,0.685612,0.661376,0.400933,0.301482,0.284494,0.346263,0.266571,0.448197,0.548303,0.456586,0.531605,0.427095,0.493361,0.439494,0.353415,0.391073,0.436890,0.388261,0.449047,0.343537,0.467435,0.375543,0.360027,0.436446,0.399293,0.308668,0.332295,0.340618,0.379545,0.249488,0.334552,0.384881,0.404706,0.467108,0.496244,0.570936,0.534260,0.517527,0.275863,0.262557,0.261110,0.278318,0.414582,0.257202,0.250981,0.411894,0.253566,0.265192,0.472103,0.422019,0.527653
M005,0.255229,0.294698,0.323718,0.000000,0.171519,0.220732,0.189515,0.421265,0.420002,0.367214,0.342894,0.483241,0.693618,0.657045,0.357470,0.376276,0.380322,0.458114,0.235568,0.306297,0.446695,0.292666,0.508710,0.309035,0.396726,0.363557,0.362150,0.351605,0.393002,0.425792,0.384597,0.255862,0.351575,0.344245,0.340305,0.492440,0.366834,0.375951,0.434705,0.436276,0.469381,0.353854,0.345019,0.315317,0.216978,0.493034,0.518755,0.546015,0.561238,0.539578,0.258207,0.261361,0.247373,0.295346,0.388611,0.299459,0.223396,0.403057,0.243872,0.241031,0.477023,0.427912,0.541651
M007,0.290523,0.338867,0.395783,0.171519,0.000000,0.238172,0.209839,0.459654,0.453311,0.410071,0.394472,0.537524,0.698901,0.692953,0.389761,0.413830,0.442792,0.493472,0.331219,0.325504,0.463788,0.299822,0.547925,0.273603,0.377181,0.439557,0.383316,0.389590,0.392934,0.445038,0.394559,0.372478,0.374332,0.386916,0.383112,0.486695,0.463799,0.441504,0.469892,0.466687,0.510782,0.427780,0.373985,0.320091,0.262669,0.574111,0.623149,0.622894,0.581875,0.594299,0.306079,0.296333,0.287003,0.338550,0.417495,0.350887,0.294503,0.483458,0.284831,0.273739,0.565916,0.496673,0.582014
M009,0.284893,0.297834,0.395906,0.220732,0.238172,0.000000,0.207692,0.382785,0.358668,0.386014,0.394063,0.449068,0.641952,0.635996,0.303649,0.359959,0.417474,0.458301,0.352833,0.389397,0.497470,0.312319,0.605283,0.360865,0.467418,0.476786,0.443958,0.416855,0.429296,0.459318,0.471075,0.339240,0.419269,0.407630,0.412973,0.464717,0.419646,0.419436,0.500414,0.420353,0.499543,0.397081,0.356360,0.301398,0.309981,0.567041,0.611777,0.610127,0.552926,0.577855,0.323865,0.311932,0.302754,0.353229,0.390802,0.367825,0.297357,0.472773,0.306112,0.297064,0.545996,0.484847,0.532868
M010,0.307559,0.302683,0.367616,0.189515,0.209839,0.207692,0.000000,0.403139,0.394660,0.378537,0.395474,0.486196,0.695554,0.678748,0.349188,0.372399,0.410451,0.480465,0.336938,0.382714,0.518876,0.350686,0.568461,0.364522,0.432109,0.435316,0.415190,0.396006,0.441942,0.471948,0.424630,0.349737,0.433979,0.413993,0.402064,0.484169,0.472235,0.436856,0.464097,0.442145,0.504383,0.415991,0.386787,0.349382,0.312870,0.556430,0.595317,0.603941,0.574263,0.580522,0.308413,0.297485,0.287822,0.335490,0.425168,0.354308,0.303563,0.487204,0.279440,0.269650,0.551497,0.489059,0.578244
M011,0.339543,0.297482,0.393144,0.421265,0.459654,0.382785,0.403139,0.000000,0.267826,0.291426,0.329772,0.280316,0.517134,0.513608,0.285838,0.170907,0.295522,0.358791,0.433301,0.556137,0.642153,0.462624,0.729356,0.493017,0.609190,0.453499,0.435646,0.398334,0.410599,0.398033,0.622367,0.368783,0.570744,0.453106,0.445697,0.491725,0.475987,0.389837,0.454576,0.330466,0.417538,0.319453,0.368698,0.423093,0.473522,0.507506,0.555827,0.617153,0.548542,0.592544,0.391010,0.376422,0.374674,0.384200,0.485202,0.340025,0.340107,0.478175,0.376871,0.389121,0.484058,0.451973,0.535296
M012,0.335835,0.232674,0.377694,0.420002,0.453311,0.358668,0.394660,0.267826,0.000000,0.236194,0.337183,0.238487,0.477639,0.503664,0.250214,0.251186,0.309896,0.386488,0.407826,0.548023,0.650914,0.456305,0.735623,0.488544,0.615533,0.470708,0.428133,0.381301,0.413541,0.402073,0.638178,0.346314,0.585711,0.423673,0.426415,0.434887,0.428667,0.388736,0.479670,0.336471,0.421727,0.294454,0.398145,0.445585,0.476188,0.560612,0.592420,0.614271,0.521751,0.539919,0.343967,0.346658,0.348028,0.364407,0.463847,0.314249,0.316709,0.496117,0.358229,0.370483,0.539137,0.472044,0.528593
M013,0.344955,0.252641,0.341516,0.367214,0.410071,0.386014,0.378537,0.291426,0.236194,0.000000,0.317591,0.274000,0.480241,0.482121,0.256834,0.246643,0.274260,0.366356,0.386592,0.512721,0.603742,0.472286,0.678151,0.458476,0.574637,0.412521,0.384304,0.339335,0.394381,0.401264,0.570013,0.365302,0.532480,0.433924,0.423539,0.485931,0.446501,0.378240,0.449707,0.337619,0.416489,0.287179,0.422774,0.453561,0.417257,0.555485,0.588146,0.633766,0.568254,0.585602,0.300798,0.318887,0.301926,0.322254,0.407258,0.252251,0.314434,0.510368,0.330768,0.341996,0.555911,0.485958,0.580198
