blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M002,0.000000,0.283802,0.397103,0.225898,0.225898,0.122812,0.316790,0.138693,0.195911,0.225898,0.272399,0.109844,0.225898,0.225898,0.275284,0.265031,0.286789,0.381064,0.226737,0.212961,0.284647,0.146349,0.728377,0.214869,0.280323,0.372697,0.339860,0.313078,0.281101,0.279819,0.304770,0.120762,0.225898,0.264407,0.256268,0.374449,0.327552,0.225898,0.386915,0.318898,0.323185,0.266372,0.139763,0.418399,0.225898,0.077394,0.107542,0.367880,0.332539,0.416472,0.225898,0.225898,0.225898,0.225898,0.225898,0.225898,0.225898,0.225898,0.225898,0.225898,0.172894,0.079696,0.336187
M003,0.283802,0.000000,0.188141,0.125585,0.125585,0.160990,0.208419,0.228518,0.094566,0.125585,0.426874,0.173958,0.125585,0.125585,0.103508,0.293799,0.348426,0.279236,0.379136,0.495385,0.311170,0.297064,0.562728,0.068933,0.087656,0.466563,0.207904,0.127519,0.122190,0.166394,0.147544,0.226342,0.125585,0.075172,0.198436,0.212169,0.360114,0.125585,0.214596,0.183878,0.201949,0.124308,0.144040,0.464290,0.125585,0.206408,0.176260,0.178645,0.242699,0.223804,0.125585,0.125585,0.125585,0.125585,0.125585,0.125585,0.125585,0.125585,0.125585,0.125585,0.116205,0.204107,0.170537
M004,0.397103,0.188141,0.000000,0.174614,0.174614,0.345698,0.129472,0.339274,0.282707,0.174614,0.463320,0.287259,0.174614,0.174614,0.175768,0.296606,0.346046,0.194538,0.538575,0.608686,0.305001,0.458187,0.602967,0.255326,0.198295,0.460394,0.143086,0.156417,0.157086,0.117284,0.134556,0.411050,0.174614,0.204104,0.142256,0.177675,0.439061,0.174614,0.135649,0.122124,0.126411,0.154968,0.257340,0.468397,0.174614,0.319709,0.289560,0.171106,0.163752,0.219698,0.174614,0.174614,0.174614,0.174614,0.174614,0.174614,0.174614,0.174614,0.174614,0.174614,0.224209,0.317407,0.140745
M005,0.225898,0.125585,0.174614,0.000000,0.000000,0.171084,0.103757,0.168069,0.108093,0.000000,0.301289,0.116054,0.000000,0.000000,0.065232,0.168214,0.222841,0.244786,0.363961,0.437481,0.185585,0.283573,0.502480,0.080712,0.086535,0.340978,0.113962,0.087181,0.055203,0.061732,0.078872,0.236436,0.000000,0.078875,0.093774,0.148551,0.464776,0.000000,0.178936,0.093000,0.097287,0.042309,0.137887,0.497520,0.000000,0.148504,0.118355,0.141982,0.138037,0.190574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053004,0.146202,0.110289
M007,0.225898,0.125585,0.174614,0.000000,0.000000,0.171084,0.103757,0.168069,0.108093,0.000000,0.301289,0.116054,0.000000,0.000000,0.065232,0.168214,0.222841,0.244786,0.363961,0.437481,0.185585,0.283573,0.502480,0.080712,0.086535,0.340978,0.113962,0.087181,0.055203,0.061732,0.078872,0.236436,0.000000,0.078875,0.093774,0.148551,0.464776,0.000000,0.178936,0.093000,0.097287,0.042309,0.137887,0.497520,0.000000,0.148504,0.118355,0.141982,0.138037,0.190574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053004,0.146202,0.110289
M009,0.122812,0.160990,0.345698,0.171084,0.171084,0.000000,0.274841,0.183328,0.073099,0.171084,0.381684,0.067895,0.171084,0.171084,0.169930,0.298892,0.320649,0.414925,0.218146,0.334395,0.318508,0.136073,0.629150,0.092057,0.157511,0.421373,0.274326,0.193942,0.188612,0.232817,0.213966,0.065351,0.171084,0.141595,0.264859,0.278591,0.293691,0.171084,0.350020,0.250301,0.268372,0.190731,0.096551,0.423677,0.171084,0.116976,0.075702,0.245067,0.309121,0.293660,0.171084,0.171084,0.171084,0.171084,0.171084,0.171084,0.171084,0.171084,0.171084,0.171084,0.141053,0.109170,0.236960
M010,0.316790,0.208419,0.129472,0.103757,0.103757,0.274841,0.000000,0.258961,0.211850,0.103757,0.383007,0.206946,0.103757,0.103757,0.104911,0.216294,0.265733,0.314554,0.467718,0.528373,0.219139,0.387329,0.532110,0.184469,0.127438,0.356643,0.023070,0.080900,0.086229,0.042025,0.060875,0.340193,0.103757,0.133247,0.060522,0.057659,0.568532,0.103757,0.075179,0.024541,0.009898,0.084111,0.230042,0.588413,0.103757,0.239396,0.209248,0.062099,0.034280,0.099682,0.103757,0.103757,0.103757,0.103757,0.103757,0.103757,0.103757,0.103757,0.103757,0.103757,0.143896,0.237094,0.044167
M011,0.138693,0.228518,0.339274,0.168069,0.168069,0.183328,0.258961,0.000000,0.190374,0.168069,0.198356,0.120820,0.168069,0.168069,0.217454,0.126339,0.148096,0.298497,0.365430,0.351654,0.145955,0.285042,0.670548,0.183645,0.222494,0.238045,0.282031,0.255249,0.223271,0.221990,0.246941,0.237905,0.168069,0.206578,0.198439,0.316620,0.466245,0.168069,0.329086,0.261068,0.265356,0.208543,0.146611,0.482334,0.168069,0.066353,0.113014,0.310051,0.274709,0.358643,0.168069,0.168069,0.168069,0.168069,0.168069,0.168069,0.168069,0.168069,0.168069,0.168069,0.115065,0.074159,0.278358
M012,0.195911,0.094566,0.282707,0.108093,0.108093,0.073099,0.211850,0.190374,0.000000,0.108093,0.388730,0.086067,0.108093,0.108093,0.106939,0.255655,0.310282,0.351934,0.291245,0.407494,0.273026,0.209172,0.566159,0.027381,0.084412,0.428419,0.211335,0.130951,0.125621,0.169825,0.150975,0.138450,0.108093,0.078603,0.201868,0.215600,0.356682,0.108093,0.287029,0.187310,0.205381,0.127740,0.107900,0.467534,0.108093,0.124022,0.088369,0.182076,0.246130,0.220561,0.108093,0.108093,0.108093,0.108093,0.108093,0.108093,0.108093,0.108093,0.108093,0.108093,0.078062,0.116215,0.173969
M013,0.225898,0.125585,0.174614,0.000000,0.000000,0.171084,0.103757,0.168069,0.108093,0.000000,0.301289,0.116054,0.000000,0.000000,0.065232,0.168214,0.222841,0.244786,0.363961,0.437481,0.185585,0.283573,0.502480,0.080712,0.086535,0.340978,0.113962,0.087181,0.055203,0.061732,0.078872,0.236436,0.000000,0.078875,0.093774,0.148551,0.464776,0.000000,0.178936,0.093000,0.097287,0.042309,0.137887,0.497520,0.000000,0.148504,0.118355,0.141982,0.138037,0.190574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053004,0.146202,0.110289
M015,0.272399,0.426874,0.463320,0.301289,0.301289,0.381684,0.383007,0.198356,0.388730,0.301289,0.000000,0.319176,0.301289,0.301289,0.366521,0.166713,0.117274,0.422543,0.499136,0.485360,0.163867,0.418748,0.801475,0.382001,0.387823,0.100298,0.406077,0.379295,0.356491,0.346036,0.370987,0.382386,0.301289,0.380164,0.322485,0.440666,0.599951,0.301289,0.453132,0.385114,0.389402,0.343598,0.344967,0.648029,0.301289,0.264708,0.311370,0.434097,0.398755,0.482689,0.301289,0.301289,0.301289,0.301289,0.301289,0.301289,0.301289,0.301289,0.301289,0.301289,0.310668,0.272515,0.402404
M016,0.109844,0.173958,0.287259,0.116054,0.116054,0.067895,0.206946,0.120820,0.086067,0.116054,0.319176,0.000000,0.116054,0.116054,0.165439,0.230997,0.252754,0.347030,0.260772,0.321427,0.250613,0.180384,0.618533,0.105025,0.170479,0.358865,0.230016,0.203234,0.171256,0.169975,0.194926,0.133247,0.116054,0.154563,0.196963,0.264605,0.361587,0.116054,0.282125,0.209053,0.213341,0.156528,0.029919,0.381467,0.116054,0.054468,0.007806,0.258036,0.241226,0.306628,0.116054,0.116054,0.116054,0.116054,0.116054,0.116054,0.116054,0.116054,0.116054,0.116054,0.073158,0.046662,0.226343
M017,0.225898,0.125585,0.174614,0.000000,0.000000,0.171084,0.103757,0.168069,0.108093,0.000000,0.301289,0.116054,0.000000,0.000000,0.065232,0.168214,0.222841,0.244786,0.363961,0.437481,0.185585,0.283573,0.502480,0.080712,0.086535,0.340978,0.113962,0.087181,0.055203,0.061732,0.078872,0.236436,0.000000,0.078875,0.093774,0.148551,0.464776,0.000000,0.178936,0.093000,0.097287,0.042309,0.137887,0.497520,0.000000,0.148504,0.118355,0.141982,0.138037,0.190574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053004,0.146202,0.110289
M019,0.225898,0.125585,0.174614,0.000000,0.000000,0.171084,0.103757,0.168069,0.108093,0.000000,0.301289,0.116054,0.000000,0.000000,0.065232,0.168214,0.222841,0.244786,0.363961,0.437481,0.185585,0.283573,0.502480,0.080712,0.086535,0.340978,0.113962,0.087181,0.055203,0.061732,0.078872,0.236436,0.000000,0.078875,0.093774,0.148551,0.464776,0.000000,0.178936,0.093000,0.097287,0.042309,0.137887,0.497520,0.000000,0.148504,0.118355,0.141982,0.138037,0.190574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053004,0.146202,0.110289
M021,0.275284,0.103508,0.175768,0.065232,0.065232,0.169930,0.104911,0.217454,0.106939,0.065232,0.366521,0.165439,0.065232,0.065232,0.000000,0.233445,0.288073,0.310018,0.370617,0.486866,0.250817,0.288545,0.459220,0.079558,0.022527,0.406210,0.104396,0.037795,0.018682,0.062886,0.044036,0.235282,0.065232,0.028336,0.094928,0.108661,0.463622,0.065232,0.180090,0.080370,0.098441,0.022922,0.187272,0.546906,0.065232,0.197890,0.167741,0.092596,0.139191,0.141188,0.065232,0.065232,0.065232,0.065232,0.065232,0.065232,0.065232,0.065232,0.065232,0.065232,0.102390,0.195588,0.067029
M022,0.265031,0.293799,0.296606,0.168214,0.168214,0.298892,0.216294,0.126339,0.255655,0.168214,0.166713,0.230997,0.168214,0.168214,0.233445,0.000000,0.054627,0.277518,0.491768,0.477992,0.019616,0.411380,0.668400,0.248926,0.254748,0.172764,0.239364,0.243718,0.223416,0.188191,0.221857,0.364243,0.168214,0.247088,0.155771,0.273952,0.592583,0.168214,0.286418,0.218401,0.222689,0.210523,0.254093,0.608673,0.168214,0.192691,0.223190,0.267383,0.232042,0.315975,0.168214,0.168214,0.168214,0.168214,0.168214,0.168214,0.168214,0.168214,0.168214,0.168214,0.177593,0.200497,0.235690
M024,0.286789,0.348426,0.346046,0.222841,0.222841,0.320649,0.265733,0.148096,0.310282,0.222841,0.117274,0.252754,0.222841,0.222841,0.288073,0.054627,0.000000,0.332145,0.513526,0.499750,0.046594,0.433138,0.723027,0.303553,0.309376,0.118137,0.288803,0.298345,0.278044,0.242818,0.276484,0.386001,0.222841,0.301716,0.205211,0.323392,0.614341,0.222841,0.335858,0.267841,0.272128,0.265150,0.275850,0.630430,0.222841,0.214448,0.244948,0.316823,0.281482,0.365415,0.222841,0.222841,0.222841,0.222841,0.222841,0.222841,0.222841,0.222841,0.222841,0.222841,0.232220,0.222255,0.285130
M025,0.381064,0.279236,0.194538,0.244786,0.244786,0.414925,0.314554,0.298497,0.351934,0.244786,0.422543,0.347030,0.244786,0.244786,0.310018,0.277518,0.332145,0.000000,0.607801,0.594026,0.294889,0.527413,0.744972,0.325498,0.331321,0.450282,0.337624,0.320290,0.299989,0.277583,0.302534,0.480276,0.244786,0.323661,0.254031,0.372213,0.354526,0.244786,0.315676,0.316661,0.320949,0.287095,0.318375,0.370616,0.244786,0.308724,0.339224,0.365643,0.330302,0.414236,0.244786,0.244786,0.244786,0.244786,0.244786,0.244786,0.244786,0.244786,0.244786,0.244786,0.273872,0.316530,0.333951
M027,0.226737,0.379136,0.538575,0.363961,0.363961,0.218146,0.467718,0.365430,0.291245,0.363961,0.499136,0.260772,0.363961,0.363961,0.370617,0.491768,0.513526,0.607801,0.000000,0.116249,0.511385,0.082073,0.823711,0.310203,0.375657,0.599434,0.467202,0.408412,0.381488,0.425693,0.406842,0.152795,0.363961,0.359741,0.457735,0.471467,0.348576,0.363961,0.542896,0.443177,0.461248,0.383607,0.289427,0.573117,0.363961,0.299077,0.268578,0.463214,0.501997,0.511806,0.363961,0.363961,0.363961,0.363961,0.363961,0.363961,0.363961,0.363961,0.363961,0.363961,0.333929,0.291271,0.431521
M028,0.212961,0.495385,0.608686,0.437481,0.437481,0.334395,0.528373,0.351654,0.407494,0.437481,0.485360,0.321427,0.437481,0.437481,0.486866,0.477992,0.499750,0.594026,0.116249,0.000000,0.497609,0.198322,0.939960,0.426452,0.491906,0.585658,0.551443,0.524661,0.492683,0.491402,0.516353,0.269044,0.437481,0.475990,0.467851,0.586032,0.464825,0.437481,0.598498,0.530480,0.534768,0.477955,0.351346,0.629982,0.437481,0.288977,0.319125,0.579463,0.544121,0.628055,0.437481,0.437481,0.437481,0.437481,0.437481,0.437481,0.437481,0.437481,0.437481,0.437481,0.384477,0.291279,0.547770
M029,0.284647,0.311170,0.305001,0.185585,0.185585,0.318508,0.219139,0.145955,0.273026,0.185585,0.163867,0.250613,0.185585,0.185585,0.250817,0.019616,0.046594,0.294889,0.511385,0.497609,0.000000,0.430996,0.685771,0.266297,0.272120,0.155393,0.242209,0.261090,0.240788,0.205563,0.239228,0.383860,0.185585,0.264460,0.162745,0.276798,0.612199,0.185585,0.289264,0.221872,0.225535,0.227895,0.273709,0.628289,0.185585,0.212307,0.242807,0.270229,0.234888,0.318821,0.185585,0.185585,0.185585,0.185585,0.185585,0.185585,0.185585,0.185585,0.185585,0.185585,0.194965,0.220114,0.245417
M030,0.146349,0.297064,0.458187,0.283573,0.283573,0.136073,0.387329,0.285042,0.209172,0.283573,0.418748,0.180384,0.283573,0.283573,0.288545,0.411380,0.433138,0.527413,0.082073,0.198322,0.430996,0.000000,0.741638,0.228130,0.293585,0.519046,0.386814,0.326339,0.301100,0.345305,0.326454,0.070722,0.283573,0.277668,0.377347,0.391079,0.266503,0.283573,0.462508,0.362789,0.380860,0.303219,0.209039,0.492729,0.283573,0.218689,0.188190,0.381141,0.421609,0.429733,0.283573,0.283573,0.283573,0.283573,0.283573,0.283573,0.283573,0.283573,0.283573,0.283573,0.253541,0.210883,0.349448
M031,0.728377,0.562728,0.602967,0.502480,0.502480,0.629150,0.532110,0.670548,0.566159,0.502480,0.801475,0.618533,0.502480,0.502480,0.459220,0.668400,0.723027,0.744972,0.823711,0.939960,0.685771,0.741638,0.000000,0.538778,0.481747,0.841164,0.531595,0.471120,0.448175,0.490086,0.471235,0.694502,0.502480,0.487556,0.523026,0.535860,0.922841,0.502480,0.607289,0.507570,0.525641,0.462005,0.640366,1.000000,0.502480,0.650983,0.620835,0.525922,0.566390,0.574514,0.502480,0.502480,0.502480,0.502480,0.502480,0.502480,0.502480,0.502480,0.502480,0.502480,0.555484,0.648681,0.494229
M032,0.214869,0.068933,0.255326,0.080712,0.080712,0.092057,0.184469,0.183645,0.027381,0.080712,0.382001,0.105025,0.080712,0.080712,0.079558,0.248926,0.303553,0.325498,0.310203,0.426452,0.266297,0.228130,0.538778,0.000000,0.065454,0.421690,0.183954,0.103569,0.098240,0.142444,0.123594,0.157408,0.080712,0.051222,0.174486,0.188219,0.384064,0.080712,0.259648,0.159928,0.177999,0.100358,0.126858,0.486492,0.080712,0.137475,0.107327,0.154695,0.218749,0.201603,0.080712,0.080712,0.080712,0.080712,0.080712,0.080712,0.080712,0.080712,0.080712,0.080712,0.071332,0.135173,0.146587
M033,0.280323,0.087656,0.198295,0.086535,0.086535,0.157511,0.127438,0.222494,0.084412,0.086535,0.387823,0.170479,0.086535,0.086535,0.022527,0.254748,0.309376,0.331321,0.375657,0.491906,0.272120,0.293585,0.481747,0.065454,0.000000,0.427512,0.126923,0.046539,0.041209,0.085413,0.066563,0.222862,0.086535,0.015917,0.117456,0.131188,0.441094,0.086535,0.202617,0.102897,0.120969,0.044225,0.192312,0.551946,0.086535,0.202929,0.172781,0.097664,0.161718,0.136149,0.086535,0.086535,0.086535,0.086535,0.086535,0.086535,0.086535,0.086535,0.086535,0.086535,0.107430,0.200628,0.089557
M034,0.372697,0.466563,0.460394,0.340978,0.340978,0.421373,0.356643,0.238045,0.428419,0.340978,0.100298,0.358865,0.340978,0.340978,0.406210,0.172764,0.118137,0.450282,0.599434,0.585658,0.155393,0.519046,0.841164,0.421690,0.427512,0.000000,0.374667,0.416482,0.396180,0.360955,0.394621,0.471909,0.340978,0.419852,0.318138,0.397788,0.700249,0.340978,0.403374,0.377265,0.366541,0.383287,0.384655,0.716339,0.340978,0.304397,0.351059,0.418741,0.348997,0.432931,0.340978,0.340978,0.340978,0.340978,0.340978,0.340978,0.340978,0.340978,0.340978,0.340978,0.350357,0.312204,0.400809
M035,0.339860,0.207904,0.143086,0.113962,0.113962,0.274326,0.023070,0.282031,0.211335,0.113962,0.406077,0.230016,0.113962,0.113962,0.104396,0.239364,0.288803,0.337624,0.467202,0.551443,0.242209,0.386814,0.531595,0.183954,0.126923,0.374667,0.000000,0.080384,0.085714,0.060041,0.060360,0.339677,0.113962,0.132732,0.083592,0.034589,0.568017,0.113962,0.075694,0.024026,0.016675,0.083596,0.251849,0.611483,0.113962,0.262466,0.232318,0.044074,0.034795,0.076612,0.113962,0.113962,0.113962,0.113962,0.113962,0.113962,0.113962,0.113962,0.113962,0.113962,0.166966,0.260164,0.037366
M036,0.313078,0.127519,0.156417,0.087181,0.087181,0.193942,0.080900,0.255249,0.130951,0.087181,0.379295,0.203234,0.087181,0.087181,0.037795,0.243718,0.298345,0.320290,0.408412,0.524661,0.261090,0.326339,0.471120,0.103569,0.046539,0.416482,0.080384,0.000000,0.031978,0.055527,0.021861,0.259293,0.087181,0.052347,0.098344,0.084649,0.487633,0.087181,0.156078,0.056359,0.074430,0.046706,0.225067,0.584701,0.087181,0.235684,0.205536,0.054801,0.115179,0.103394,0.087181,0.087181,0.087181,0.087181,0.087181,0.087181,0.087181,0.087181,0.087181,0.087181,0.140185,0.233383,0.043018
M037,0.281101,0.122190,0.157086,0.055203,0.055203,0.188612,0.086229,0.223271,0.125621,0.055203,0.356491,0.171256,0.055203,0.055203,0.018682,0.223416,0.278044,0.299989,0.381488,0.492683,0.240788,0.301100,0.448175,0.098240,0.041209,0.396180,0.085714,0.031978,0.000000,0.044204,0.025354,0.253963,0.055203,0.047018,0.078042,0.093348,0.482303,0.055203,0.161408,0.061688,0.079760,0.014728,0.193089,0.552723,0.055203,0.203707,0.173558,0.086779,0.120509,0.135371,0.055203,0.055203,0.055203,0.055203,0.055203,0.055203,0.055203,0.055203,0.055203,0.055203,0.108207,0.201405,0.055086
M038,0.279819,0.166394,0.117284,0.061732,0.061732,0.232817,0.042025,0.221990,0.169825,0.061732,0.346036,0.169975,0.061732,0.061732,0.062886,0.188191,0.242818,0.277583,0.425693,0.491402,0.205563,0.345305,0.490086,0.142444,0.085413,0.360955,0.060041,0.055527,0.044204,0.000000,0.033666,0.298168,0.061732,0.091222,0.042817,0.094630,0.526508,0.061732,0.117204,0.039078,0.043366,0.042086,0.191808,0.551442,0.061732,0.202425,0.172277,0.088060,0.076304,0.136653,0.061732,0.061732,0.061732,0.061732,0.061732,0.061732,0.061732,0.061732,0.061732,0.061732,0.106926,0.200123,0.056368
M039,0.304770,0.147544,0.134556,0.078872,0.078872,0.213966,0.060875,0.246941,0.150975,0.078872,0.370987,0.194926,0.078872,0.078872,0.044036,0.221857,0.276484,0.302534,0.406842,0.516353,0.239228,0.326454,0.471235,0.123594,0.066563,0.394621,0.060360,0.021861,0.025354,0.033666,0.000000,0.279317,0.078872,0.072372,0.076483,0.069679,0.507657,0.078872,0.136054,0.036335,0.054406,0.038397,0.216759,0.576393,0.078872,0.227376,0.197227,0.063110,0.095155,0.111702,0.078872,0.078872,0.078872,0.078872,0.078872,0.078872,0.078872,0.078872,0.078872,0.078872,0.131876,0.225074,0.031417
M040,0.120762,0.226342,0.411050,0.236436,0.236436,0.065351,0.340193,0.237905,0.138450,0.236436,0.382386,0.133247,0.236436,0.236436,0.235282,0.364243,0.386001,0.480276,0.152795,0.269044,0.383860,0.070722,0.694502,0.157408,0.222862,0.471909,0.339677,0.259293,0.253963,0.298168,0.279317,0.000000,0.236436,0.206946,0.330210,0.343942,0.228340,0.236436,0.415371,0.315652,0.333723,0.256082,0.161902,0.445592,0.236436,0.171552,0.141053,0.310419,0.374472,0.359011,0.236436,0.236436,0.236436,0.236436,0.236436,0.236436,0.236436,0.236436,0.236436,0.236436,0.206404,0.163746,0.302311
