blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M002,0.000000,0.111748,0.094982,0.218472,0.320178,0.246846,0.240194,0.181871,0.110318,0.253027,0.079496,0.170017,0.505785,0.640551,0.133534,0.096117,0.138606,0.129798,0.070211,0.215829,0.374689,0.238365,0.477440,0.247779,0.302251,0.276674,0.042839,0.200912,0.270946,0.202655,0.400147,0.144581,0.363167,0.191879,0.178879,0.276139,0.105433,0.113280,0.232061,0.122091,0.245485,0.168433,0.169716,0.177762,0.185075,0.380190,0.348125,0.546718,0.436653,0.367324,0.216146,0.202634,0.223540,0.234970,0.330504,0.230821,0.055739,0.228366,0.124843,0.142135,0.342442,0.269943,0.482752
M003,0.111748,0.000000,0.125126,0.237255,0.338960,0.264765,0.258977,0.169423,0.074150,0.191542,0.104242,0.144810,0.503343,0.593248,0.060954,0.153160,0.137957,0.190009,0.084452,0.256234,0.392510,0.257148,0.507546,0.257827,0.320073,0.207327,0.071078,0.137946,0.201599,0.154254,0.394004,0.147583,0.411444,0.275553,0.262552,0.387887,0.113429,0.160183,0.339461,0.182494,0.261461,0.174460,0.194114,0.187013,0.188262,0.484208,0.451080,0.625268,0.515204,0.406460,0.224131,0.210619,0.242081,0.179612,0.346665,0.186087,0.139413,0.323119,0.129210,0.162337,0.445397,0.363833,0.561303
M004,0.094982,0.125126,0.000000,0.283544,0.385250,0.308705,0.305266,0.194589,0.150098,0.257508,0.142572,0.167099,0.544166,0.648493,0.171175,0.142048,0.131660,0.136151,0.115857,0.229902,0.391428,0.303438,0.438502,0.301190,0.318990,0.332452,0.089893,0.255112,0.326725,0.225720,0.372303,0.176882,0.380475,0.273938,0.260937,0.326570,0.126243,0.179443,0.263847,0.174955,0.265486,0.156636,0.202694,0.205207,0.231614,0.396524,0.364459,0.577149,0.467549,0.377978,0.248345,0.234833,0.266296,0.261957,0.346332,0.267941,0.137798,0.288149,0.158010,0.191070,0.358776,0.327243,0.513183
M005,0.218472,0.237255,0.283544,0.000000,0.101706,0.072148,0.075264,0.315528,0.278096,0.384196,0.266183,0.353443,0.464305,0.574788,0.210617,0.296087,0.343877,0.299565,0.173240,0.220830,0.284226,0.023405,0.536928,0.120759,0.255527,0.288642,0.224238,0.239434,0.231572,0.273858,0.371489,0.342790,0.362656,0.357452,0.344451,0.466673,0.308780,0.252306,0.422594,0.307490,0.414305,0.371617,0.251230,0.144419,0.146496,0.570723,0.538658,0.637258,0.527194,0.439564,0.248888,0.205372,0.205163,0.267741,0.253603,0.378139,0.242426,0.405090,0.139594,0.117752,0.532976,0.436309,0.573293
M007,0.320178,0.338960,0.385250,0.101706,0.000000,0.087571,0.086808,0.387662,0.379802,0.485902,0.367889,0.455149,0.508117,0.651929,0.312323,0.378078,0.445582,0.373487,0.274946,0.208091,0.320135,0.081812,0.570013,0.106519,0.262401,0.352145,0.325943,0.311569,0.286992,0.375564,0.379091,0.428572,0.356581,0.385258,0.377536,0.501857,0.410486,0.349462,0.472295,0.409196,0.516011,0.473322,0.339562,0.223536,0.229362,0.568958,0.536893,0.609540,0.520589,0.485745,0.350594,0.307078,0.301590,0.369447,0.351944,0.479844,0.344132,0.466667,0.241299,0.208172,0.536489,0.450379,0.550853
M009,0.246846,0.264765,0.308705,0.072148,0.087571,0.000000,0.042971,0.300091,0.306470,0.412570,0.280317,0.367577,0.489981,0.601414,0.239957,0.290507,0.358011,0.285915,0.201614,0.227126,0.309735,0.054749,0.523256,0.148500,0.249047,0.278813,0.252611,0.238237,0.237419,0.302232,0.358616,0.355241,0.329895,0.354154,0.341154,0.433804,0.337154,0.261891,0.398963,0.321625,0.428439,0.385751,0.255561,0.135964,0.144673,0.537854,0.505789,0.592290,0.482225,0.426267,0.273248,0.232706,0.227218,0.295074,0.311510,0.392273,0.270800,0.393335,0.166927,0.133800,0.500107,0.389200,0.528324
M010,0.240194,0.258977,0.305266,0.075264,0.086808,0.042971,0.000000,0.300855,0.299818,0.405918,0.287905,0.375165,0.531020,0.639571,0.232339,0.298095,0.365599,0.293503,0.194962,0.190979,0.315078,0.051860,0.523633,0.134325,0.232083,0.275872,0.245960,0.224761,0.245754,0.308078,0.339682,0.348589,0.307988,0.342224,0.329224,0.415049,0.330502,0.269479,0.388330,0.329213,0.436027,0.393339,0.275647,0.146594,0.156520,0.519100,0.487035,0.607178,0.497113,0.446433,0.272051,0.230022,0.224535,0.292391,0.328867,0.399861,0.264148,0.379859,0.164244,0.131117,0.481352,0.391510,0.543212
M011,0.181871,0.169423,0.194589,0.315528,0.387662,0.300091,0.300855,0.000000,0.130886,0.277254,0.136466,0.152365,0.516478,0.571638,0.183839,0.116340,0.169608,0.156838,0.186965,0.372099,0.507629,0.330872,0.597334,0.365912,0.435191,0.196276,0.160098,0.135454,0.208657,0.107697,0.533087,0.136162,0.452732,0.321154,0.308153,0.368708,0.132497,0.152622,0.308138,0.196007,0.293139,0.148328,0.158298,0.217713,0.303381,0.405081,0.373016,0.517354,0.437263,0.341032,0.318970,0.305458,0.336920,0.274451,0.463445,0.213875,0.185014,0.299396,0.236627,0.269755,0.367334,0.323200,0.453388
M012,0.110318,0.074150,0.150098,0.278096,0.379802,0.306470,0.299818,0.130886,0.000000,0.157885,0.068397,0.089242,0.479500,0.597612,0.072029,0.128047,0.134908,0.181078,0.123464,0.280188,0.413504,0.297990,0.541798,0.289206,0.341066,0.188890,0.079343,0.142125,0.195176,0.112597,0.438962,0.094994,0.445724,0.238844,0.225844,0.346081,0.070062,0.146430,0.297654,0.152683,0.259223,0.128711,0.198221,0.231272,0.220704,0.444334,0.412269,0.593068,0.483003,0.402535,0.265169,0.251657,0.283119,0.220650,0.369320,0.160075,0.105708,0.290784,0.168587,0.201714,0.406587,0.332362,0.529102
M013,0.253027,0.191542,0.257508,0.384196,0.485902,0.412570,0.405918,0.277254,0.157885,0.000000,0.217580,0.167714,0.421784,0.516441,0.173579,0.266398,0.221991,0.294726,0.241547,0.331239,0.473070,0.404090,0.635871,0.381658,0.400632,0.288173,0.216196,0.226463,0.276815,0.235305,0.498528,0.227015,0.510423,0.388027,0.375027,0.460633,0.185225,0.261644,0.412690,0.245122,0.395695,0.201718,0.349945,0.352047,0.317363,0.560819,0.528754,0.730445,0.620381,0.520920,0.218464,0.296224,0.254669,0.265217,0.344120,0.144275,0.251888,0.422806,0.267917,0.301045,0.523072,0.464383,0.666480
