blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M002,0.000000,0.138131,0.218879,0.092675,0.059541,0.130786,0.220566,0.119553,0.232355,0.181975,0.334237,0.449088,0.798761,0.490723,0.084987,0.131345,0.202684,0.300249,0.144145,0.120876,0.371533,0.207369,0.141589,0.253794,0.183364,0.150453,0.275873,0.341349,0.409711,0.313339,0.116571,0.095817,0.116073,0.115136,0.135067,0.253261,0.109092,0.360905,0.195730,0.401322,0.382565,0.224455,0.114836,0.068215,0.105988,0.244375,0.374522,0.236664,0.252804,0.398649,0.229927,0.281133,0.203636,0.398034,0.385088,0.246617,0.150485,0.160379,0.322489,0.324011,0.178451,0.192630,0.315917
M003,0.138131,0.000000,0.141350,0.225959,0.151524,0.191871,0.241919,0.102891,0.193035,0.148756,0.267000,0.378315,0.764353,0.427686,0.113171,0.147229,0.185226,0.256007,0.147816,0.230544,0.340372,0.206208,0.116836,0.254780,0.170021,0.147644,0.269274,0.315472,0.385290,0.289807,0.123316,0.216670,0.140064,0.247392,0.237725,0.189339,0.232949,0.256587,0.219335,0.359530,0.339958,0.178674,0.077197,0.102859,0.241400,0.214448,0.337265,0.196927,0.212116,0.351705,0.238165,0.160804,0.126125,0.262622,0.249675,0.187821,0.255587,0.232677,0.248103,0.248042,0.212075,0.236695,0.282638
M004,0.218879,0.141350,0.000000,0.296278,0.266414,0.279739,0.354061,0.162389,0.258523,0.187398,0.254275,0.337687,0.761663,0.353520,0.200048,0.138318,0.175768,0.269916,0.137139,0.289471,0.335484,0.254704,0.171824,0.263778,0.232492,0.163715,0.262998,0.293699,0.342920,0.269995,0.179127,0.305154,0.191042,0.317710,0.308044,0.215738,0.303268,0.259366,0.206142,0.353494,0.328677,0.137798,0.132938,0.181834,0.311719,0.221555,0.301625,0.220128,0.205751,0.281151,0.279055,0.214248,0.163448,0.274162,0.288536,0.153983,0.289487,0.267603,0.283098,0.284280,0.241341,0.243457,0.227849
M005,0.092675,0.225959,0.296278,0.000000,0.092768,0.122980,0.272407,0.200677,0.268687,0.259234,0.424784,0.523466,0.887262,0.547616,0.153054,0.209695,0.265517,0.376338,0.169599,0.077787,0.441700,0.216301,0.208002,0.308293,0.270755,0.204104,0.325409,0.390560,0.481030,0.368397,0.178469,0.051199,0.113949,0.056524,0.073784,0.275627,0.028610,0.389387,0.242029,0.455975,0.441520,0.276297,0.188402,0.134860,0.032831,0.238958,0.353674,0.235739,0.263478,0.385156,0.285829,0.371680,0.294183,0.488581,0.475634,0.328800,0.083532,0.105108,0.371178,0.377698,0.149371,0.182528,0.290109
M007,0.059541,0.151524,0.266414,0.092768,0.000000,0.091933,0.203327,0.150039,0.257222,0.225611,0.380100,0.496623,0.852977,0.520412,0.093231,0.184669,0.258376,0.347784,0.167822,0.116681,0.427204,0.223662,0.196048,0.300101,0.237673,0.194719,0.323458,0.388609,0.463467,0.366446,0.172950,0.081258,0.128367,0.113459,0.120680,0.274645,0.103811,0.383908,0.234195,0.452877,0.439569,0.267517,0.153382,0.098903,0.102286,0.261577,0.393587,0.253866,0.275461,0.418543,0.277187,0.291311,0.246890,0.408212,0.395266,0.294152,0.158308,0.174055,0.301207,0.304153,0.206878,0.219301,0.340783
M009,0.130786,0.191871,0.279739,0.122980,0.091933,0.000000,0.218213,0.181695,0.270990,0.289506,0.427138,0.538268,0.864465,0.533737,0.143161,0.211874,0.294538,0.400217,0.209553,0.121526,0.465985,0.188735,0.245264,0.282235,0.274639,0.183548,0.357103,0.385476,0.457528,0.364360,0.221924,0.104141,0.126283,0.134953,0.150971,0.275912,0.119851,0.388135,0.308528,0.454724,0.432808,0.279877,0.178394,0.140074,0.106653,0.259908,0.387467,0.251890,0.275208,0.413108,0.306297,0.304221,0.260645,0.427451,0.403940,0.343887,0.110380,0.128124,0.357157,0.360023,0.161246,0.187804,0.312167
M010,0.220566,0.241919,0.354061,0.272407,0.203327,0.218213,0.000000,0.233253,0.359603,0.339555,0.477187,0.588316,0.927999,0.608059,0.198504,0.268232,0.345065,0.450265,0.296136,0.274142,0.515804,0.301548,0.295313,0.379549,0.322902,0.260034,0.413182,0.454838,0.532177,0.435155,0.269156,0.269789,0.279263,0.293293,0.308877,0.368440,0.284851,0.469931,0.350989,0.529046,0.508278,0.370760,0.242892,0.205087,0.274677,0.380708,0.511193,0.368989,0.394082,0.532729,0.368970,0.374498,0.328225,0.467982,0.409315,0.393936,0.289446,0.309889,0.348018,0.358204,0.329593,0.342362,0.441488
M011,0.119553,0.102891,0.162389,0.200677,0.150039,0.181695,0.233253,0.000000,0.172066,0.126399,0.253574,0.364889,0.714876,0.398065,0.088896,0.113894,0.149086,0.229001,0.186717,0.212620,0.327372,0.208376,0.150828,0.231224,0.196319,0.129153,0.267109,0.304827,0.373190,0.276818,0.149038,0.191387,0.136881,0.222109,0.237693,0.200751,0.207667,0.258606,0.210651,0.307322,0.290480,0.174728,0.089018,0.079207,0.216118,0.214635,0.374930,0.169067,0.209443,0.332591,0.258531,0.186593,0.134126,0.305067,0.281002,0.174395,0.220814,0.218149,0.298139,0.301635,0.189804,0.173938,0.227070
M012,0.232355,0.193035,0.258523,0.268687,0.257222,0.270990,0.359603,0.172066,0.000000,0.175244,0.300768,0.269869,0.649728,0.304525,0.240941,0.230400,0.183926,0.247354,0.253656,0.298018,0.382998,0.281234,0.250254,0.341965,0.255412,0.259791,0.360981,0.381985,0.437514,0.358260,0.253261,0.269434,0.200318,0.290120,0.298046,0.282130,0.275678,0.315084,0.322061,0.355743,0.341057,0.220085,0.180549,0.180295,0.284129,0.284623,0.422631,0.241341,0.240765,0.394372,0.169856,0.193995,0.158861,0.367906,0.324847,0.203972,0.298264,0.290655,0.386734,0.390247,0.256975,0.262019,0.284830
M013,0.181975,0.148756,0.187398,0.259234,0.225611,0.289506,0.339555,0.126399,0.175244,0.000000,0.175088,0.271013,0.665903,0.310229,0.184085,0.120664,0.107943,0.140756,0.205189,0.250996,0.310630,0.318908,0.170521,0.302183,0.237293,0.205527,0.252580,0.307930,0.377747,0.282264,0.168278,0.269256,0.214055,0.280019,0.270352,0.240452,0.274302,0.250074,0.192056,0.255743,0.246806,0.194046,0.153280,0.162944,0.274028,0.264401,0.438379,0.216261,0.225128,0.366037,0.219079,0.204815,0.166974,0.298761,0.251084,0.106504,0.312781,0.317017,0.324865,0.322675,0.283337,0.254678,0.245451
M015,0.334237,0.267000,0.254275,0.424784,0.380100,0.427138,0.477187,0.253574,0.300768,0.175088,0.000000,0.284306,0.634236,0.323200,0.312164,0.230673,0.181853,0.175965,0.348304,0.417194,0.185935,0.405642,0.292326,0.372955,0.274584,0.327307,0.276809,0.279406,0.334794,0.214911,0.288625,0.418840,0.352939,0.446217,0.436550,0.352264,0.431774,0.334671,0.238998,0.303158,0.260646,0.329195,0.286665,0.292978,0.440226,0.388710,0.500138,0.345401,0.341598,0.415624,0.331205,0.241316,0.225529,0.294737,0.294320,0.210649,0.461104,0.455900,0.404328,0.408409,0.422221,0.378666,0.358069
M016,0.449088,0.378315,0.337687,0.523466,0.496623,0.538268,0.588316,0.364889,0.269869,0.271013,0.284306,0.000000,0.474422,0.112335,0.428873,0.372192,0.321330,0.280602,0.397785,0.515876,0.418881,0.516957,0.391193,0.474054,0.402153,0.420780,0.436816,0.431597,0.506093,0.430186,0.407244,0.535364,0.446411,0.544898,0.535232,0.365372,0.530456,0.419253,0.423325,0.324989,0.336742,0.353200,0.388315,0.408850,0.538907,0.456932,0.548909,0.438874,0.371540,0.452767,0.276470,0.324314,0.334772,0.386024,0.397599,0.218857,0.554391,0.549373,0.470535,0.474617,0.515693,0.472138,0.400052
M017,0.798761,0.764353,0.761663,0.887262,0.852977,0.864465,0.927999,0.714876,0.649728,0.665903,0.634236,0.474422,0.000000,0.473146,0.783336,0.699984,0.654122,0.537677,0.871092,0.878561,0.646305,0.853889,0.766717,0.800942,0.731415,0.776669,0.656559,0.618348,0.740653,0.705065,0.760911,0.890772,0.833863,0.913896,0.929480,0.778074,0.901655,0.825643,0.738264,0.536271,0.562271,0.810091,0.761123,0.769999,0.901593,0.888573,1.000000,0.826326,0.803180,0.893466,0.642417,0.652289,0.648123,0.720870,0.728052,0.671514,0.901026,0.905262,0.926000,0.930082,0.871582,0.828027,0.852735
