blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M002,0.000000,0.098936,0.225813,0.127265,0.161107,0.156999,0.140213,0.161565,0.082727,0.174783,0.093868,0.227534,0.368257,0.646971,0.104204,0.115343,0.252261,0.395135,0.083532,0.159121,0.385032,0.136934,0.574335,0.161107,0.291827,0.329088,0.172691,0.195904,0.150938,0.116736,0.416943,0.084405,0.540974,0.368954,0.344281,0.339072,0.241852,0.223556,0.274656,0.162338,0.264917,0.137766,0.249599,0.194804,0.327944,0.364980,0.368954,0.368954,0.337973,0.344113,0.047351,0.047351,0.047351,0.047351,0.369019,0.047351,0.047351,0.303916,0.047351,0.047351,0.367419,0.277407,0.277431
M003,0.098936,0.000000,0.265103,0.110594,0.144437,0.140329,0.123542,0.153294,0.070442,0.119263,0.157165,0.222516,0.395533,0.646153,0.041254,0.178043,0.274215,0.489834,0.071978,0.142450,0.368362,0.120263,0.553290,0.144437,0.275156,0.266967,0.148630,0.134224,0.090253,0.095908,0.398602,0.104741,0.521503,0.465088,0.440416,0.433770,0.247839,0.294245,0.369355,0.257696,0.356327,0.200955,0.318577,0.198703,0.319691,0.461115,0.465088,0.465088,0.432672,0.440248,0.096283,0.096283,0.096283,0.096283,0.351293,0.096283,0.096283,0.399745,0.096283,0.096283,0.462117,0.373237,0.374697
M004,0.225813,0.265103,0.000000,0.299887,0.333730,0.322297,0.312835,0.344984,0.277502,0.347441,0.280203,0.408227,0.526833,0.805547,0.270897,0.303306,0.439656,0.593718,0.248558,0.331743,0.550329,0.309556,0.724100,0.333730,0.457124,0.470428,0.337373,0.355127,0.315136,0.288393,0.566274,0.242902,0.693942,0.572746,0.548074,0.529698,0.391599,0.382832,0.465282,0.353839,0.445713,0.309060,0.399465,0.332217,0.467782,0.568773,0.572746,0.572746,0.528599,0.547906,0.233571,0.233571,0.233571,0.233571,0.523691,0.233571,0.233571,0.496615,0.233571,0.233571,0.558045,0.470107,0.475972
M005,0.127265,0.110594,0.299887,0.000000,0.033843,0.059515,0.018904,0.227903,0.145051,0.161557,0.213612,0.297125,0.424805,0.668161,0.078519,0.228819,0.356527,0.511024,0.078928,0.034834,0.257768,0.009669,0.516655,0.033843,0.164562,0.286648,0.176049,0.158614,0.114643,0.173039,0.301401,0.182456,0.413710,0.484842,0.460170,0.454960,0.296197,0.307819,0.390545,0.281070,0.388233,0.257510,0.343846,0.141162,0.235283,0.480869,0.484842,0.484842,0.453862,0.460002,0.114906,0.114906,0.114906,0.114906,0.245736,0.114906,0.114906,0.419804,0.114906,0.114906,0.483307,0.393296,0.393320
M007,0.161107,0.144437,0.333730,0.033843,0.000000,0.069468,0.020895,0.261746,0.178894,0.195400,0.247454,0.330968,0.458647,0.702003,0.112361,0.262662,0.390369,0.505862,0.112771,0.001987,0.233594,0.024173,0.513525,0.000000,0.130720,0.320490,0.209892,0.192456,0.148485,0.206882,0.271540,0.216299,0.404040,0.478868,0.457040,0.463206,0.330040,0.341662,0.393103,0.314913,0.422075,0.291352,0.377688,0.153299,0.247227,0.474895,0.478868,0.478868,0.447888,0.454028,0.140216,0.140216,0.140216,0.140216,0.271046,0.140216,0.140216,0.413830,0.140216,0.140216,0.477333,0.387322,0.387346
M009,0.156999,0.140329,0.322297,0.059515,0.069468,0.000000,0.048573,0.213686,0.174786,0.203139,0.204476,0.282908,0.389180,0.648332,0.112203,0.214602,0.338417,0.475369,0.108663,0.067481,0.228033,0.053827,0.499458,0.069468,0.134828,0.344156,0.205784,0.206217,0.162245,0.202774,0.263704,0.212191,0.383975,0.494669,0.469996,0.464787,0.325932,0.272194,0.400371,0.245445,0.352608,0.221884,0.308221,0.096024,0.245402,0.490695,0.494669,0.494669,0.463688,0.469828,0.136108,0.136108,0.136108,0.136108,0.231359,0.136108,0.136108,0.429630,0.136108,0.136108,0.493134,0.403122,0.337786
M010,0.140213,0.123542,0.312835,0.018904,0.020895,0.048573,0.000000,0.240851,0.157999,0.174505,0.226560,0.310073,0.437753,0.681109,0.091467,0.241767,0.369475,0.504063,0.091876,0.018908,0.244820,0.009235,0.509695,0.020895,0.151614,0.303545,0.188997,0.171562,0.127591,0.185987,0.282497,0.195404,0.400762,0.477882,0.453209,0.448000,0.309145,0.320767,0.383585,0.294018,0.401181,0.270458,0.356794,0.134202,0.230281,0.473909,0.477882,0.477882,0.446901,0.453041,0.119321,0.119321,0.119321,0.119321,0.256108,0.119321,0.119321,0.412844,0.119321,0.119321,0.476347,0.386335,0.386359
M011,0.161565,0.153294,0.344984,0.227903,0.261746,0.213686,0.240851,0.000000,0.088540,0.202332,0.136660,0.135393,0.338496,0.578620,0.153650,0.067803,0.203519,0.376332,0.172795,0.259759,0.424256,0.237572,0.632110,0.261746,0.331050,0.366590,0.250577,0.245350,0.186449,0.134396,0.425666,0.152419,0.549698,0.478988,0.458297,0.449106,0.311052,0.323706,0.384691,0.258054,0.313370,0.164038,0.313594,0.231489,0.303112,0.477005,0.478988,0.478988,0.448007,0.454147,0.154627,0.154627,0.154627,0.154627,0.310178,0.154627,0.154627,0.413950,0.154627,0.154627,0.477453,0.387441,0.343513
M012,0.082727,0.070442,0.277502,0.145051,0.178894,0.174786,0.157999,0.088540,0.000000,0.113792,0.105785,0.175833,0.384624,0.655248,0.066532,0.124011,0.261979,0.434372,0.089943,0.176907,0.402819,0.154720,0.614684,0.178894,0.309613,0.278050,0.167725,0.156810,0.097909,0.045856,0.434729,0.073581,0.558761,0.408048,0.387357,0.378166,0.228200,0.306283,0.313751,0.223168,0.329729,0.157876,0.328312,0.231479,0.353251,0.406065,0.408048,0.408048,0.377067,0.383207,0.071775,0.071775,0.071775,0.071775,0.386806,0.071775,0.071775,0.343010,0.071775,0.071775,0.406513,0.316501,0.316525
M013,0.174783,0.119263,0.347441,0.161557,0.195400,0.203139,0.174505,0.202332,0.113792,0.000000,0.213637,0.260178,0.322972,0.567717,0.090936,0.231943,0.338087,0.548022,0.157981,0.193413,0.419325,0.171226,0.643231,0.195400,0.326120,0.280336,0.235764,0.159096,0.100195,0.133248,0.451235,0.159729,0.575267,0.521840,0.499158,0.491958,0.328242,0.347480,0.427543,0.280401,0.406228,0.239800,0.402598,0.260256,0.369757,0.517867,0.521840,0.521840,0.490860,0.496999,0.157875,0.157875,0.157875,0.157875,0.345273,0.157875,0.157875,0.456802,0.157875,0.157875,0.520305,0.430293,0.430318
