blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M002,0.000000,0.306693,0.227901,0.321285,0.317393,0.327092,0.354518,0.509162,0.510106,0.432992,0.187617,0.595241,0.632235,0.583619,0.522691,0.403111,0.295710,0.293648,0.190445,0.401291,0.435859,0.457481,0.336490,0.362046,0.429324,0.287217,0.316515,0.293476,0.341116,0.328388,0.404619,0.341412,0.278166,0.198569,0.200554,0.215295,0.205379,0.317985,0.309325,0.358728,0.417156,0.315692,0.288125,0.268075,0.403544,0.475137,0.494306,0.442642,0.399454,0.414700,0.187452,0.194301,0.194301,0.178155,0.256276,0.169023,0.174052,0.412202,0.182721,0.197345,0.463982,0.381777,0.401252
M003,0.306693,0.000000,0.216958,0.291722,0.331107,0.373374,0.349105,0.363095,0.336593,0.250258,0.228183,0.373944,0.396125,0.367425,0.259419,0.279864,0.221433,0.265255,0.348003,0.582417,0.541608,0.500500,0.544634,0.453438,0.585959,0.375639,0.389941,0.363261,0.382998,0.395931,0.635214,0.291174,0.501835,0.239904,0.241119,0.368795,0.439762,0.333462,0.356181,0.310894,0.295000,0.253982,0.385664,0.267621,0.446510,0.498698,0.518993,0.511602,0.530666,0.444584,0.259295,0.266143,0.266143,0.241462,0.304731,0.235967,0.232460,0.436889,0.254563,0.269187,0.497371,0.402428,0.486670
M004,0.227901,0.216958,0.000000,0.346393,0.332013,0.339725,0.362108,0.407301,0.377529,0.283496,0.188406,0.465263,0.533500,0.449272,0.450783,0.264004,0.185868,0.205493,0.227895,0.477279,0.579499,0.570563,0.416130,0.422176,0.479009,0.375687,0.393907,0.368687,0.433863,0.402458,0.491061,0.357037,0.403823,0.199357,0.201342,0.267159,0.317334,0.199931,0.232973,0.264658,0.300934,0.208235,0.325140,0.279158,0.463456,0.471095,0.487095,0.475747,0.445387,0.424665,0.173775,0.180624,0.180624,0.173809,0.212376,0.169812,0.174841,0.373787,0.169839,0.183668,0.459507,0.360342,0.417687
M005,0.321285,0.291722,0.346393,0.000000,0.169687,0.257494,0.183639,0.462575,0.540123,0.383322,0.263858,0.479397,0.654807,0.485147,0.427492,0.412572,0.339185,0.394219,0.314037,0.466175,0.470865,0.506818,0.457336,0.394279,0.476643,0.309335,0.367825,0.321474,0.429365,0.511945,0.526597,0.222924,0.337204,0.274810,0.276795,0.354707,0.330926,0.407153,0.441834,0.463366,0.457383,0.352877,0.370438,0.259230,0.307878,0.469941,0.495628,0.448874,0.511163,0.484345,0.237224,0.230376,0.230376,0.220913,0.371460,0.245264,0.250293,0.424675,0.224884,0.230376,0.540927,0.387034,0.478396
M007,0.317393,0.331107,0.332013,0.169687,0.000000,0.303513,0.231187,0.543005,0.553374,0.381726,0.285103,0.591199,0.699707,0.570893,0.507700,0.459046,0.340383,0.398243,0.304134,0.395876,0.403962,0.464629,0.363537,0.281554,0.359616,0.313646,0.309005,0.302068,0.401143,0.519752,0.418492,0.360851,0.284375,0.296055,0.298040,0.317543,0.317988,0.424549,0.445249,0.458943,0.439294,0.383024,0.351658,0.235686,0.261551,0.591018,0.622158,0.589727,0.578393,0.501365,0.224325,0.217477,0.217477,0.242158,0.309231,0.266509,0.271538,0.539317,0.229057,0.214433,0.646740,0.493523,0.552053
M009,0.327092,0.373374,0.339725,0.257494,0.303513,0.000000,0.234381,0.434164,0.484205,0.374671,0.319002,0.497504,0.609149,0.486809,0.436085,0.425891,0.317348,0.318489,0.409807,0.610885,0.484620,0.560349,0.536636,0.516075,0.594055,0.467224,0.511737,0.449443,0.497182,0.493814,0.585229,0.383151,0.451910,0.329953,0.331938,0.368494,0.396407,0.417474,0.449724,0.415419,0.432718,0.344147,0.393668,0.325023,0.420505,0.548842,0.575724,0.491669,0.494168,0.567642,0.266760,0.259911,0.259911,0.276057,0.299097,0.300408,0.305437,0.473323,0.262955,0.256867,0.525159,0.469638,0.515875
M010,0.354518,0.349105,0.362108,0.183639,0.231187,0.234381,0.000000,0.420892,0.487089,0.364334,0.303103,0.477091,0.607006,0.493162,0.515910,0.397423,0.323545,0.389513,0.369786,0.523540,0.589677,0.595565,0.441546,0.481544,0.489433,0.429639,0.493000,0.437489,0.537524,0.595061,0.510503,0.322567,0.414054,0.314055,0.316040,0.366158,0.363956,0.448593,0.475951,0.464354,0.528444,0.379708,0.372720,0.331801,0.426145,0.546101,0.567380,0.492334,0.528639,0.533850,0.242325,0.235477,0.235477,0.260158,0.409138,0.284509,0.289538,0.482471,0.247056,0.232433,0.577159,0.435304,0.549515
M011,0.509162,0.363095,0.407301,0.462575,0.543005,0.434164,0.420892,0.000000,0.346938,0.258264,0.402852,0.244005,0.335750,0.299749,0.428105,0.169584,0.301116,0.349497,0.528618,0.734633,0.835173,0.760773,0.778323,0.726636,0.802995,0.562459,0.657129,0.601424,0.614445,0.621204,0.860978,0.415734,0.695899,0.422339,0.415788,0.513507,0.606669,0.427207,0.420959,0.300846,0.409230,0.359584,0.532373,0.554577,0.675037,0.427560,0.429316,0.545962,0.573032,0.650302,0.462107,0.468956,0.468956,0.444274,0.521495,0.419924,0.414895,0.402812,0.457376,0.472000,0.345821,0.434660,0.609878
M012,0.510106,0.336593,0.377529,0.540123,0.553374,0.484205,0.487089,0.346938,0.000000,0.267862,0.350664,0.237151,0.315466,0.268901,0.414020,0.299807,0.271291,0.317065,0.522745,0.738310,0.809150,0.686253,0.766148,0.681623,0.799806,0.499667,0.585953,0.511970,0.555707,0.551349,0.848802,0.486573,0.661206,0.370152,0.363601,0.490253,0.591819,0.367023,0.466127,0.304507,0.347634,0.275761,0.438468,0.516092,0.649350,0.562187,0.580474,0.548358,0.507875,0.514376,0.411442,0.418291,0.418291,0.393609,0.511882,0.369258,0.364229,0.492020,0.406711,0.421335,0.521834,0.467552,0.532638
M013,0.432992,0.250258,0.283496,0.383322,0.381726,0.374671,0.364334,0.258264,0.267862,0.000000,0.285717,0.283795,0.368520,0.309572,0.369899,0.216287,0.186885,0.286046,0.402652,0.605895,0.698383,0.638933,0.637524,0.535034,0.644541,0.382898,0.444643,0.418425,0.515552,0.546510,0.702524,0.342884,0.529752,0.305204,0.298653,0.442779,0.481513,0.362973,0.394172,0.315194,0.340687,0.260244,0.397936,0.393239,0.447111,0.458120,0.469746,0.510328,0.504932,0.518235,0.344973,0.351821,0.351821,0.327140,0.379689,0.302789,0.297760,0.445762,0.340241,0.354865,0.494669,0.429693,0.507212
