blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M002,0.000000,0.312139,0.242077,0.250310,0.291158,0.321516,0.271909,0.433227,0.460116,0.367092,0.135328,0.398438,0.559359,0.503263,0.495344,0.325667,0.285835,0.270148,0.353426,0.407053,0.435453,0.248982,0.376552,0.365116,0.536156,0.378005,0.285410,0.286280,0.320215,0.356144,0.332176,0.327967,0.255679,0.135328,0.135328,0.338827,0.413205,0.217874,0.226921,0.232756,0.217800,0.235689,0.197403,0.401243,0.175787,0.353671,0.458727,0.485495,0.434887,0.436973,0.135328,0.135328,0.135328,0.135328,0.306838,0.135328,0.135328,0.287727,0.135328,0.135328,0.345202,0.346247,0.467471
M003,0.312139,0.000000,0.314088,0.380980,0.446833,0.265626,0.277561,0.404298,0.316441,0.342663,0.293907,0.306230,0.534200,0.519100,0.356259,0.274688,0.336863,0.370644,0.517676,0.531230,0.466144,0.328413,0.479673,0.429144,0.732344,0.525327,0.415513,0.369886,0.466790,0.555347,0.450737,0.392220,0.483551,0.293907,0.293907,0.374554,0.534824,0.368251,0.397663,0.353787,0.417784,0.358594,0.362386,0.396214,0.353932,0.487366,0.570395,0.660836,0.559903,0.559837,0.293907,0.293907,0.293907,0.293907,0.282973,0.293907,0.293907,0.454384,0.293907,0.293907,0.530384,0.470012,0.589694
M004,0.242077,0.314088,0.000000,0.143155,0.349001,0.358312,0.251428,0.466155,0.490607,0.347800,0.189538,0.406877,0.643507,0.558763,0.583682,0.352569,0.190923,0.263366,0.232058,0.406886,0.425066,0.374768,0.275401,0.449200,0.579492,0.342099,0.381619,0.350096,0.446566,0.473681,0.280829,0.288234,0.291552,0.189538,0.189538,0.454719,0.423496,0.243564,0.197240,0.335372,0.297402,0.220815,0.292418,0.500851,0.246322,0.207225,0.294379,0.509632,0.555556,0.501253,0.189538,0.189538,0.189538,0.189538,0.390136,0.189538,0.189538,0.274204,0.189538,0.189538,0.310761,0.281462,0.551391
M005,0.250310,0.380980,0.143155,0.000000,0.346579,0.384680,0.274571,0.552252,0.557369,0.414549,0.224501,0.464037,0.704804,0.630886,0.646526,0.424272,0.279218,0.356335,0.157687,0.339190,0.464250,0.420906,0.245389,0.486653,0.534327,0.325439,0.426328,0.390287,0.491275,0.528989,0.250467,0.198558,0.282827,0.224501,0.224501,0.495450,0.375152,0.280369,0.283041,0.404233,0.345042,0.279381,0.296390,0.499862,0.200865,0.273995,0.310082,0.453192,0.579174,0.486772,0.224501,0.224501,0.224501,0.224501,0.405866,0.224501,0.224501,0.327305,0.224501,0.224501,0.274120,0.351287,0.530436
M007,0.291158,0.446833,0.349001,0.346579,0.000000,0.409732,0.351321,0.563849,0.555525,0.485642,0.317771,0.462091,0.628771,0.603268,0.608600,0.437307,0.410738,0.452840,0.437937,0.508840,0.603184,0.414117,0.486698,0.505646,0.622548,0.552943,0.439497,0.465444,0.442674,0.465503,0.429508,0.408415,0.438839,0.317771,0.317771,0.465210,0.605109,0.411848,0.381247,0.401786,0.402604,0.431238,0.340941,0.477709,0.292006,0.485473,0.602082,0.656931,0.601573,0.634661,0.317771,0.317771,0.317771,0.317771,0.527389,0.317771,0.317771,0.441024,0.317771,0.317771,0.502356,0.497918,0.617140
M009,0.321516,0.265626,0.358312,0.384680,0.409732,0.000000,0.282129,0.456246,0.306137,0.346226,0.348260,0.305594,0.493060,0.477760,0.313270,0.310199,0.404157,0.402082,0.524388,0.511239,0.600686,0.450166,0.530625,0.534442,0.721247,0.585560,0.484262,0.455619,0.491824,0.571047,0.525211,0.370651,0.443211,0.348260,0.348260,0.338915,0.468391,0.416910,0.455076,0.347850,0.461732,0.434433,0.374267,0.449421,0.352982,0.528721,0.638939,0.668795,0.525490,0.508596,0.348260,0.348260,0.348260,0.348260,0.434286,0.348260,0.348260,0.495493,0.348260,0.348260,0.566925,0.558344,0.491284
M010,0.271909,0.277561,0.251428,0.274571,0.351321,0.282129,0.000000,0.461514,0.360094,0.346684,0.302284,0.360031,0.610019,0.549899,0.435408,0.345726,0.311419,0.386794,0.361398,0.468089,0.560959,0.443635,0.458934,0.538571,0.653795,0.455727,0.455183,0.416020,0.510490,0.548204,0.426445,0.271231,0.459146,0.302284,0.302284,0.471839,0.519962,0.366304,0.371014,0.362545,0.367429,0.393341,0.357767,0.487185,0.258300,0.383862,0.468508,0.621280,0.593541,0.530915,0.302284,0.302284,0.302284,0.302284,0.446479,0.302284,0.302284,0.463872,0.302284,0.302284,0.442743,0.459257,0.560129
M011,0.433227,0.404298,0.466155,0.552252,0.563849,0.456246,0.461514,0.000000,0.359116,0.330593,0.405725,0.328203,0.379724,0.352582,0.287355,0.232229,0.405051,0.352027,0.660318,0.679682,0.630107,0.347006,0.661274,0.471924,0.760999,0.562735,0.418131,0.328219,0.349627,0.519475,0.590300,0.618258,0.541297,0.405725,0.405725,0.431511,0.588310,0.444672,0.482037,0.309973,0.425822,0.465434,0.430159,0.539480,0.484000,0.604909,0.700203,0.775503,0.551184,0.627775,0.405725,0.405725,0.405725,0.405725,0.468217,0.405725,0.405725,0.636265,0.405725,0.405725,0.628674,0.561953,0.527238
M012,0.460116,0.316441,0.490607,0.557369,0.555525,0.306137,0.360094,0.359116,0.000000,0.281103,0.484643,0.269043,0.298062,0.334135,0.276306,0.235816,0.388666,0.387428,0.681258,0.731629,0.723016,0.484343,0.738183,0.633479,0.916626,0.623456,0.578767,0.414411,0.510254,0.646936,0.715385,0.546924,0.612990,0.484643,0.484643,0.281392,0.536662,0.504432,0.553105,0.401464,0.509987,0.466922,0.540532,0.588829,0.529198,0.646089,0.701871,0.743625,0.512273,0.552658,0.484643,0.484643,0.484643,0.484643,0.399092,0.484643,0.484643,0.666157,0.484643,0.484643,0.673287,0.590192,0.520301
M013,0.367092,0.342663,0.347800,0.414549,0.485642,0.346226,0.346684,0.330593,0.281103,0.000000,0.336196,0.196273,0.402980,0.406593,0.279436,0.169582,0.249425,0.225904,0.534696,0.672786,0.645795,0.417757,0.584469,0.554105,0.836813,0.464096,0.447689,0.314729,0.454735,0.533967,0.589120,0.517376,0.467573,0.336196,0.336196,0.374313,0.469016,0.393862,0.408456,0.355111,0.390602,0.347707,0.466269,0.597271,0.417222,0.507011,0.541701,0.645791,0.511682,0.541892,0.336196,0.336196,0.336196,0.336196,0.457524,0.336196,0.336196,0.545999,0.336196,0.336196,0.529396,0.434171,0.566156
