catalogue_id,status,block,metric,n_models,blind_ids,near_duplicate_count,block_recurrence_count,metric_recurrence_count,source_type_recurrence_count,near_duplicate_ids
C0091,headline,values_owned,euclidean,3,M058;M059;M083,16,4,2,4,C0091;C0094;C0095;C0102;C0104;C0566;C1195;C1295;C1360;C1361;C1382;C1604;C1751;F0004;F0005;F0035
C0095,headline,values_owned,euclidean,3,M058;M059;M083,16,4,2,4,C0091;C0094;C0095;C0102;C0104;C0566;C1195;C1295;C1360;C1361;C1382;C1604;C1751;F0004;F0005;F0035
C0098,headline,values_owned,euclidean,5,M058;M059;M060;M082;M083,17,4,2,4,C0094;C0098;C0102;C1295;C1337;C1360;C1361;C1382;C1447;C1448;C1484;C1650;C1707;F0004;F0005;F0022;F0035
C0104,headline,values_owned,euclidean,3,M058;M059;M083,16,4,2,4,C0091;C0094;C0095;C0102;C0104;C0566;C1195;C1295;C1360;C1361;C1382;C1604;C1751;F0004;F0005;F0035
C1195,support,values_owned,euclidean,3,M058;M059;M083,16,4,2,4,C0091;C0094;C0095;C0102;C0104;C0566;C1195;C1295;C1360;C1361;C1382;C1604;C1751;F0004;F0005;F0035
C1337,support,values_owned,euclidean,5,M058;M059;M060;M082;M083,17,4,2,4,C0094;C0098;C0102;C1295;C1337;C1360;C1361;C1382;C1447;C1448;C1484;C1650;C1707;F0004;F0005;F0022;F0035
C1548,support_watch,values_owned,euclidean,3,M059;M060;M083,11,4,2,3,C1360;C1484;C1548;C1698;C1731;C1764;C1785;F0004;F0005;F0035;F0049
C1604,support_watch,posture,euclidean,3,M058;M059;M083,16,4,2,4,C0091;C0094;C0095;C0102;C0104;C0566;C1195;C1295;C1360;C1361;C1382;C1604;C1751;F0004;F0005;F0035
C1698,watchlist,values_wishes,euclidean,3,M059;M060;M083,11,4,2,3,C1360;C1484;C1548;C1698;C1731;C1764;C1785;F0004;F0005;F0035;F0049
C1731,support_watch,values_wishes,euclidean,3,M059;M060;M083,11,4,2,3,C1360;C1484;C1548;C1698;C1731;C1764;C1785;F0004;F0005;F0035;F0049
C1751,watchlist,posture,euclidean,3,M058;M059;M083,16,4,2,4,C0091;C0094;C0095;C0102;C0104;C0566;C1195;C1295;C1360;C1361;C1382;C1604;C1751;F0004;F0005;F0035
C1785,watchlist,values_wishes,euclidean,3,M059;M060;M083,11,4,2,3,C1360;C1484;C1548;C1698;C1731;C1764;C1785;F0004;F0005;F0035;F0049
F0022,feature_flag,values_owned,single_feature,5,M082;M060;M083;M059;M058,17,4,2,4,C0094;C0098;C0102;C1295;C1337;C1360;C1361;C1382;C1447;C1448;C1484;C1650;C1707;F0004;F0005;F0022;F0035
F0049,feature_flag,values_owned,single_feature,3,M083;M059;M060,11,4,2,3,C1360;C1484;C1548;C1698;C1731;C1764;C1785;F0004;F0005;F0035;F0049
F0075,feature_flag,posture,single_feature,4,M057;M081;M056;M058,9,4,2,3,C0014;C0015;C0016;C0017;C0363;C1097;C1697;F0066;F0075
C0056,headline,values_owned,euclidean,6,M071;M072;M073;M074;M079;M080,21,4,1,2,C0056;C0057;C0058;C0059;C0356;C0360;C0361;C0362;C0682;C0734;C0748;C0760;C0805;C0806;C0809;C0810;C0811;C0812;C0814;C0884;C1171
C0057,headline,values_owned,euclidean,6,M071;M072;M073;M074;M079;M080,21,4,1,2,C0056;C0057;C0058;C0059;C0356;C0360;C0361;C0362;C0682;C0734;C0748;C0760;C0805;C0806;C0809;C0810;C0811;C0812;C0814;C0884;C1171
C0058,headline,values_owned,euclidean,6,M071;M072;M073;M074;M079;M080,21,4,1,2,C0056;C0057;C0058;C0059;C0356;C0360;C0361;C0362;C0682;C0734;C0748;C0760;C0805;C0806;C0809;C0810;C0811;C0812;C0814;C0884;C1171
C0059,headline,values_owned,euclidean,6,M071;M072;M073;M074;M079;M080,21,4,1,2,C0056;C0057;C0058;C0059;C0356;C0360;C0361;C0362;C0682;C0734;C0748;C0760;C0805;C0806;C0809;C0810;C0811;C0812;C0814;C0884;C1171
C0682,support,values_disclosure,euclidean,8,M071;M072;M073;M074;M076;M077;M079;M080,29,4,1,3,C0036;C0037;C0038;C0039;C0040;C0056;C0057;C0058;C0059;C0322;C0579;C0580;C0595;C0596;C0597;C0598;C0682;C0683;C0684;C0725;C0727;C0728;C0799;C0801;C0809;C0810;C0812;C0883;C1171
C0809,support,values_owned,euclidean,8,M071;M072;M073;M074;M076;M077;M079;M080,29,4,1,3,C0036;C0037;C0038;C0039;C0040;C0056;C0057;C0058;C0059;C0322;C0579;C0580;C0595;C0596;C0597;C0598;C0682;C0683;C0684;C0725;C0727;C0728;C0799;C0801;C0809;C0810;C0812;C0883;C1171
C0810,support,values_owned,euclidean,7,M071;M072;M073;M074;M076;M079;M080,38,4,1,3,C0036;C0037;C0038;C0039;C0040;C0056;C0057;C0058;C0059;C0319;C0322;C0361;C0579;C0595;C0596;C0597;C0682;C0683;C0725;C0728;C0732;C0744;C0746;C0758;C0799;C0801;C0805;C0809;C0810;C0811;C0812;C0814;C0855;C0878;C0883;C1065;C1170;C1171
C0812,support,values_owned,euclidean,6,M071;M072;M073;M074;M079;M080,21,4,1,2,C0056;C0057;C0058;C0059;C0356;C0360;C0361;C0362;C0682;C0734;C0748;C0760;C0805;C0806;C0809;C0810;C0811;C0812;C0814;C0884;C1171
F0094,feature_flag,values_disclosure,single_feature,6,M029;M039;M028;M007;M032;M033,5,4,1,1,F0057;F0080;F0081;F0082;F0094
C0014,headline,posture,euclidean,3,M056;M057;M081,27,3,2,4,C0014;C0015;C0016;C0017;C0097;C0101;C0354;C0363;C1273;C1358;C1359;C1449;C1450;C1600;C1601;C1642;C1654;C1669;C1697;C1712;C1722;C1730;C1759;C1762;F0052;F0066;F0075
C0015,headline,posture,euclidean,3,M056;M057;M081,27,3,2,4,C0014;C0015;C0016;C0017;C0097;C0101;C0354;C0363;C1273;C1358;C1359;C1449;C1450;C1600;C1601;C1642;C1654;C1669;C1697;C1712;C1722;C1730;C1759;C1762;F0052;F0066;F0075
C0016,headline,posture,euclidean,3,M056;M057;M081,27,3,2,4,C0014;C0015;C0016;C0017;C0097;C0101;C0354;C0363;C1273;C1358;C1359;C1449;C1450;C1600;C1601;C1642;C1654;C1669;C1697;C1712;C1722;C1730;C1759;C1762;F0052;F0066;F0075
C0017,headline,posture,euclidean,3,M056;M057;M081,27,3,2,4,C0014;C0015;C0016;C0017;C0097;C0101;C0354;C0363;C1273;C1358;C1359;C1449;C1450;C1600;C1601;C1642;C1654;C1669;C1697;C1712;C1722;C1730;C1759;C1762;F0052;F0066;F0075
C0094,headline,values_owned,euclidean,4,M058;M059;M082;M083,21,3,2,4,C0091;C0094;C0095;C0098;C0102;C0104;C1195;C1295;C1337;C1361;C1382;C1412;C1427;C1464;C1465;C1485;C1494;C1604;C1651;C1751;F0022
C0097,headline,values_owned,euclidean,4,M056;M057;M078;M081,19,3,2,4,C0014;C0015;C0016;C0017;C0097;C0101;C0363;C1273;C1320;C1358;C1359;C1449;C1450;C1451;C1513;C1697;C1771;F0052;F0066
C0101,headline,values_owned,euclidean,4,M056;M057;M078;M081,19,3,2,4,C0014;C0015;C0016;C0017;C0097;C0101;C0363;C1273;C1320;C1358;C1359;C1449;C1450;C1451;C1513;C1697;C1771;F0052;F0066
C0102,headline,values_owned,euclidean,4,M058;M059;M082;M083,21,3,2,4,C0091;C0094;C0095;C0098;C0102;C0104;C1195;C1295;C1337;C1361;C1382;C1412;C1427;C1464;C1465;C1485;C1494;C1604;C1651;C1751;F0022
C0354,support,posture,euclidean,4,M049;M056;M057;M081,10,3,2,4,C0014;C0015;C0016;C0017;C0065;C0349;C0354;C0363;C1697;F0066
C0363,support,posture,euclidean,3,M056;M057;M081,27,3,2,4,C0014;C0015;C0016;C0017;C0097;C0101;C0354;C0363;C1273;C1358;C1359;C1449;C1450;C1600;C1601;C1642;C1654;C1669;C1697;C1712;C1722;C1730;C1759;C1762;F0052;F0066;F0075
