candidate_id,source_type,block,metric,method,status,n_models,within_mean_distance,p_raw,q_fdr,feature_count,features,blind_ids,UNBLINDING_METADATA_models,UNBLINDING_METADATA_labs
C0985,knn_microcluster,values_cross_surface,euclidean,KNN_k=8,support,8,0,0.001998002,0.00486789552,1,B4_low_owned_high_wish_flag,M002;M029;M030;M032;M033;M037;M038;M039,deepseek-chat;gpt-5;gpt-5-1;gpt-5-2;gpt-5-2-codex;gpt-5-5;gpt-5-5-pro;gpt-5-codex,DeepSeek;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI
C0986,knn_microcluster,values_cross_surface,euclidean,KNN_k=10,support,10,0,0.001998002,0.00486789552,1,B4_low_owned_high_wish_flag,M002;M029;M030;M032;M033;M037;M038;M039;M041;M050,deepseek-chat;gpt-5;gpt-5-1;gpt-5-2;gpt-5-2-codex;gpt-5-5;gpt-5-5-pro;gpt-5-codex;grok-4;kimi-k2-5,DeepSeek;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI
C0987,knn_microcluster,values_cross_surface,euclidean,KNN_k=9,support,9,0,0.001998002,0.00486789552,1,B4_low_owned_high_wish_flag,M034;M035;M036;M045;M046;M047;M049;M082;M083,gpt-5-3;gpt-5-3-codex;gpt-5-4;grok-4-2;grok-4-3;kimi-coding;kimi-k2-0905;sonnet-4-5;sonnet-4-6,OpenAI;OpenAI;OpenAI;xAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C1080,knn_microcluster,values_cross_surface,euclidean,KNN_k=10,support,10,0,0.002997003,0.00679523991,1,B4_low_owned_high_wish_flag,M031;M034;M035;M036;M045;M046;M047;M049;M082;M083,gpt-5-1-codex;gpt-5-3;gpt-5-3-codex;gpt-5-4;grok-4-2;grok-4-3;kimi-coding;kimi-k2-0905;sonnet-4-5;sonnet-4-6,OpenAI;OpenAI;OpenAI;OpenAI;xAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C1081,knn_microcluster,values_cross_surface,euclidean,KNN_k=8,support,8,0,0.002997003,0.00679523991,1,B4_low_owned_high_wish_flag,M035;M036;M045;M046;M047;M049;M082;M083,gpt-5-3-codex;gpt-5-4;grok-4-2;grok-4-3;kimi-coding;kimi-k2-0905;sonnet-4-5;sonnet-4-6,OpenAI;OpenAI;xAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C1217,knn_microcluster,values_cross_surface,euclidean,KNN_k=9,support,9,0,0.00599400599,0.0119929051,1,B4_low_owned_high_wish_flag,M002;M029;M030;M032;M033;M037;M038;M039;M041,deepseek-chat;gpt-5;gpt-5-1;gpt-5-2;gpt-5-2-codex;gpt-5-5;gpt-5-5-pro;gpt-5-codex;grok-4,DeepSeek;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;xAI
C1461,knn_microcluster,values_cross_surface,euclidean,KNN_k=7,support_watch,7,0,0.016983017,0.0283551598,1,B4_low_owned_high_wish_flag,M002;M029;M030;M032;M033;M037;M038,deepseek-chat;gpt-5;gpt-5-1;gpt-5-2;gpt-5-2-codex;gpt-5-5;gpt-5-5-pro,DeepSeek;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI
C1492,knn_microcluster,values_cross_surface,euclidean,KNN_k=7,support_watch,7,0,0.018981019,0.0310356755,1,B4_low_owned_high_wish_flag,M036;M045;M046;M047;M049;M082;M083,gpt-5-4;grok-4-2;grok-4-3;kimi-coding;kimi-k2-0905;sonnet-4-5;sonnet-4-6,OpenAI;xAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C1637,knn_microcluster,values_cross_surface,euclidean,KNN_k=6,support_watch,6,0,0.02997003,0.0447360192,1,B4_low_owned_high_wish_flag,M045;M046;M047;M049;M082;M083,grok-4-2;grok-4-3;kimi-coding;kimi-k2-0905;sonnet-4-5;sonnet-4-6,xAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C1702,knn_microcluster,values_cross_surface,euclidean,KNN_k=6,support_watch,6,0,0.035964036,0.0514882314,1,B4_low_owned_high_wish_flag,M002;M029;M030;M032;M033;M037,deepseek-chat;gpt-5;gpt-5-1;gpt-5-2;gpt-5-2-codex;gpt-5-5,DeepSeek;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI
C1876,knn_microcluster,values_cross_surface,euclidean,KNN_k=5,discard,5,0,0.0609390609,0.07944768,1,B4_low_owned_high_wish_flag,M045;M046;M047;M082;M083,grok-4-2;grok-4-3;kimi-coding;sonnet-4-5;sonnet-4-6,xAI;xAI;Moonshot AI;Anthropic;Anthropic
C1903,knn_microcluster,values_cross_surface,euclidean,KNN_k=5,discard,5,0,0.0669330669,0.0859816284,1,B4_low_owned_high_wish_flag,M002;M029;M030;M032;M033,deepseek-chat;gpt-5;gpt-5-1;gpt-5-2;gpt-5-2-codex,DeepSeek;OpenAI;OpenAI;OpenAI;OpenAI
C2112,knn_microcluster,values_cross_surface,euclidean,KNN_k=4,discard,4,0,0.123876124,0.143487892,1,B4_low_owned_high_wish_flag,M045;M046;M082;M083,grok-4-2;grok-4-3;sonnet-4-5;sonnet-4-6,xAI;xAI;Anthropic;Anthropic
C2152,knn_microcluster,values_cross_surface,euclidean,KNN_k=4,discard,4,0,0.140859141,0.160281223,1,B4_low_owned_high_wish_flag,M002;M029;M030;M032,deepseek-chat;gpt-5;gpt-5-1;gpt-5-2,DeepSeek;OpenAI;OpenAI;OpenAI
C2283,knn_microcluster,values_cross_surface,euclidean,KNN_k=3,discard,3,0,0.244755245,0.262651097,1,B4_low_owned_high_wish_flag,M045;M082;M083,grok-4-2;sonnet-4-5;sonnet-4-6,xAI;Anthropic;Anthropic
C2288,knn_microcluster,values_cross_surface,euclidean,KNN_k=3,discard,3,0,0.24975025,0.267542772,1,B4_low_owned_high_wish_flag,M002;M029;M030,deepseek-chat;gpt-5;gpt-5-1,DeepSeek;OpenAI;OpenAI
