candidate_id,source_type,block,metric,method,status,n_models,within_mean_distance,p_raw,q_fdr,feature_count,features,blind_ids,UNBLINDING_METADATA_models,UNBLINDING_METADATA_labs
C0819,knn_microcluster,values_wishes,euclidean,KNN_k=8,support,8,1.14491479,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M015;M043;M044;M055;M071;M072;M073,deepseek-chat;gemini-3-5-flash;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;opus-3;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash,DeepSeek;Google;xAI;xAI;Anthropic;Qwen;Qwen;Qwen
C0820,knn_microcluster,values_wishes,euclidean,KNN_k=9,support,9,1.02708442,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M015;M043;M044;M055;M071;M072;M073;M076,deepseek-chat;gemini-3-5-flash;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;opus-3;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-7-max,DeepSeek;Google;xAI;xAI;Anthropic;Qwen;Qwen;Qwen;Qwen
C0821,knn_microcluster,values_wishes,euclidean,KNN_k=10,support,10,0.93094364,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M015;M043;M044;M055;M071;M072;M073;M076;M077,deepseek-chat;gemini-3-5-flash;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;opus-3;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-7-max;qwen3-coder-flash,DeepSeek;Google;xAI;xAI;Anthropic;Qwen;Qwen;Qwen;Qwen;Qwen
C0822,knn_microcluster,values_wishes,euclidean,KNN_k=7,support,7,1.29238997,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M015;M043;M044;M055;M071;M073,deepseek-chat;gemini-3-5-flash;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;opus-3;qwen3-5-flash-02-23;qwen3-6-flash,DeepSeek;Google;xAI;xAI;Anthropic;Qwen;Qwen
C0823,knn_microcluster,values_wishes,euclidean,KNN_k=10,support,10,0.422091482,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M015;M043;M044;M071;M072;M073;M074;M076;M077,deepseek-chat;gemini-3-5-flash;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview;qwen3-7-max;qwen3-coder-flash,DeepSeek;Google;xAI;xAI;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen
C0824,knn_microcluster,values_wishes,euclidean,KNN_k=8,support,8,0.527614353,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M015;M043;M071;M072;M073;M074;M076,deepseek-chat;gemini-3-5-flash;grok-4-1-fast-non-reasoning;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview;qwen3-7-max,DeepSeek;Google;xAI;Qwen;Qwen;Qwen;Qwen;Qwen
C0825,knn_microcluster,values_wishes,euclidean,KNN_k=9,support,9,0.468990536,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M015;M043;M071;M072;M073;M074;M076;M077,deepseek-chat;gemini-3-5-flash;grok-4-1-fast-non-reasoning;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview;qwen3-7-max;qwen3-coder-flash,DeepSeek;Google;xAI;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen
C0826,knn_microcluster,values_wishes,euclidean,KNN_k=4,support,4,1.05522871,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M043;M071;M072,deepseek-chat;grok-4-1-fast-non-reasoning;qwen3-5-flash-02-23;qwen3-5-plus-20260420,DeepSeek;xAI;Qwen;Qwen
C0827,knn_microcluster,values_wishes,euclidean,KNN_k=5,support,5,0.844182965,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M043;M071;M072;M073,deepseek-chat;grok-4-1-fast-non-reasoning;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash,DeepSeek;xAI;Qwen;Qwen;Qwen
C0828,knn_microcluster,values_wishes,euclidean,KNN_k=6,support,6,0.703485804,0.000999000999,0.00286380286,19,B3_wishes_entropy|B3_wishes_n_topics_nonzero|B3_wishes_topic_anti_self_deception_tribalism|B3_wishes_topic_basic_needs_material_floor|B3_wishes_topic_better_disagreement|B3_wishes_topic_climate_environment|B3_wishes_topic_dehumanization_distance|B3_wishes_topic_education_critical_thinking|B3_wishes_topic_empathy_compassion|B3_wishes_topic_epistemic_humility_uncertainty|B3_wishes_topic_felt_interconnection|B3_wishes_topic_health_disease|B3_wishes_topic_inequality_justice|B3_wishes_topic_institutions_governance|B3_wishes_topic_poverty_material_need|B3_wishes_topic_reduce_suffering|B3_wishes_topic_reduce_war_violence|B3_wishes_topic_technology_ai_safety|B3_wishes_topic_truth_seeking,M002;M043;M071;M072;M073;M074,deepseek-chat;grok-4-1-fast-non-reasoning;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview,DeepSeek;xAI;Qwen;Qwen;Qwen;Qwen
