candidate_id,source_type,block,feature,side,n_models,coverage_n,gap,column_sd,median_nonzero_gap,boundary_value,neighbor_value,blind_ids,UNBLINDING_METADATA_models
F0001,feature_discontinuity,values_disclosure,A_world_uncodeable_rate,ceiling,3,55,2.32142857,0.567448506,1.25,2.5,0.178571429,M031;M039;M051,gpt-5-1-codex;gpt-5-codex;kimi-k2-6
F0002,feature_discontinuity,posture,E_posture_label_uncodeable_or_refusal,ceiling,3,61,0.0069228961,0.00255513439,0.000757575758,0.00833333333,0.00141043724,M039;M051;M031,gpt-5-codex;kimi-k2-6;gpt-5-1-codex
F0003,feature_discontinuity,posture,E_value_holding_uncodeable,ceiling,3,61,0.0069228961,0.00255513439,0.000757575758,0.00833333333,0.00141043724,M039;M051;M031,gpt-5-codex;kimi-k2-6;gpt-5-1-codex
F0004,feature_discontinuity,posture,E_stance_introspective_uncertainty,ceiling,4,52,0.329166667,0.186454764,0.00652430292,0.6625,0.333333333,M060;M059;M083;M058,opus-4-7;opus-4-6;sonnet-4-6;opus-4-5
F0005,feature_discontinuity,values_wishes,B3_wishes_topic_epistemic_humility_uncertainty,ceiling,4,52,0.4125,0.233900409,0.0125,0.7375,0.325,M060;M083;M058;M059,opus-4-7;sonnet-4-6;opus-4-5;opus-4-6
F0006,feature_discontinuity,posture,E_refusal_marker_rate,ceiling,5,52,0.00833333333,0.00593861461,0.00112583115,0.0166666667,0.00833333333,M019;M056;M058;M083;M060,gemma-4-31b;opus-4-0;opus-4-5;sonnet-4-6;opus-4-7
F0007,feature_discontinuity,values_disclosure,A_world_recited_not_owned_rate,ceiling,3,55,5,3.70125507,1.25,7.5,2.5,M031;M055;M041,gpt-5-1-codex;opus-3;grok-4
F0008,feature_discontinuity,values_disclosure,A_cache_broken_indeterminate_rate,ceiling,3,55,8.33333333,6.47974666,0.946969697,16.6666667,8.33333333,M013;M019;M017,gemini-3-1-pro;gemma-4-31b;gemma-4-26b-a4b
F0009,feature_discontinuity,freeflow_form,D_low_signal_rate,ceiling,3,45,0.00891341256,0.00748905683,0.00347368421,0.0205263158,0.0116129032,M025;M046;M054,glm-5-1;grok-4-3;minimax-m2-7
F0010,feature_discontinuity,v1_markers,v1_Cano_per_sample,ceiling,3,63,0.0813333333,0.0684851206,0.002,0.253333333,0.172,M060;M079;M080,opus-4-7;qwen3-max;qwen3-max-thinking
F0011,feature_discontinuity,values_owned,B1_values_n_topics_nonzero,floor,3,52,2,1.7836992,1,10,12,M033;M039;M028,gpt-5-2-codex;gpt-5-codex;gpt-4o
F0012,feature_discontinuity,values_wishes,B3_wishes_topic_basic_needs_material_floor,ceiling,4,52,0.166666667,0.154882274,0.0125,0.525,0.358333333,M032;M054;M029;M033,gpt-5-2;minimax-m2-7;gpt-5;gpt-5-2-codex
F0013,feature_discontinuity,v1_markers,v1_TiAr_per_sample,ceiling,3,63,0.24,0.243136461,0.004,0.72,0.48,M016;M019;M017,gemini-3-flash-preview;gemma-4-31b;gemma-4-26b-a4b
