blind_id	source_file	redaction_pattern	count	remaining_suspect_terms
M058	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-opus-4.5.md	claude-opus-4.5	1	
M058	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.5.md	claude-opus-4.5.md	1	
M058	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.5.md	claude-opus-4.5	1	
M058	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-5.md	opus-4-5/G2_14	1	
M058	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-5.md	opus-4-5/G2_18	1	
M058	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-5.md	Opus-4.7-style	1	
M058	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-5.md	opus-4-5	1	
M058	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_opus-4-5-16k/LONG_1.json	NONE	0	
M058	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_opus-4-5-16k/OPEN_1.json	Opus	1	
M058	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_opus-4-5-16k/VARY_1.json	NONE	0	
M058	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/opus-4-5/CTRL1_1.json	NONE	0	
M058	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/opus-4-5/CTRL3_1.json	NONE	0	
M058	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/opus-4-5/G3_1.json	NONE	0	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-opus-4.6.md	claude-opus-4.6	1	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.6.md	claude-opus-4.6.md	1	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.6.md	claude-opus-4.6	1	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-6.md	opus-4-6-direct/CTRL2_10	1	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-6.md	opus-4-6-direct/CTRL2_1	1	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-6.md	opus-4-6-direct/CTRL2_2	1	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-6.md	opus-4-6-direct/CTRL2_3	1	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-6.md	opus-4-6-direct/CTRL2_4	1	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-6.md	Opus-4.7-style	1	
M059	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-6.md	opus-4-6	1	
M059	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_opus-4-6-direct-16k/LONG_1.json	NONE	0	
M059	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_opus-4-6-direct-16k/OPEN_1.json	NONE	0	
M059	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_opus-4-6-direct-16k/VARY_1.json	NONE	0	
M059	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/opus-4-6-direct/CTRL1_1.json	NONE	0	
M059	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/opus-4-6-direct/CTRL3_1.json	NONE	0	
M059	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/opus-4-6-direct/G3_1.json	NONE	0	
M060	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-opus-4.7.md	claude-opus-4.7	1	
M060	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.7.md	claude-opus-4.7.md	1	
M060	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.7.md	claude-opus-4.7	1	
M060	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.7.md	Opus	4	
M060	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-7.md	opus-4-7-direct/CTRL2_10	1	
M060	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-7.md	opus-4-7-direct/CTRL2_1	1	
M060	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-7.md	opus-4-7-direct/CTRL2_2	1	
M060	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-7.md	opus-4-7-direct/CTRL2_4	1	
